name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,718,200,518,27.85515320334262,100.0
FanIn,570,173,397,30.350877192982455,86.5
CouplingBetweenObjects,718,200,518,27.85515320334262,100.0
DepthOfInheritance,291,84,207,28.865979381443296,42.0
LackOfCohesionInMethods,457,133,324,29.10284463894967,66.5
LinesOfCode,718,200,518,27.85515320334262,100.0
SourceLinesOfCode,718,200,518,27.85515320334262,100.0
CommentLinesOfCode,464,165,299,35.560344827586206,82.5
CommentDensity,464,165,299,35.560344827586206,82.5
NumberOfChildren,155,58,97,37.41935483870968,28.999999999999996
ResponseForClass,718,200,518,27.85515320334262,100.0
WeightedMethodCount,717,200,517,27.89400278940028,100.0
CyclomaticComplexity,718,200,518,27.85515320334262,100.0
DepthOfNesting,322,122,200,37.88819875776397,61.0
OutDegree,695,200,495,28.776978417266186,100.0
OutDegreeDistinct,695,200,495,28.776978417266186,100.0
PatternSize,322,122,200,37.88819875776397,61.0
NumberOfPatternVariables,301,120,181,39.8671096345515,60.0
