name,count,percentage_faulty,percentage_total_faults
CommentDensity,5,25.0,80.0
CommentLinesOfCode,5,25.0,80.0
CouplingBetweenObjects,5,11.180124223602483,100.0
CyclomaticComplexity,5,11.180124223602483,100.0
DepthOfInheritance,5,15.384615384615385,66.66666666666666
DepthOfNesting,5,20.588235294117645,33.33333333333333
FanIn,5,12.5,60.0
FanOut,5,11.180124223602483,100.0
LackOfCohesionInMethods,5,9.090909090909092,94.44444444444444
LinesOfCode,5,11.180124223602483,100.0
NumberOfChildren,5,0.0,0.0
NumberOfPatternVariables,4,27.601809954751126,36.666666666666664
OutDegree,5,12.679425837320574,100.0
OutDegreeDistinct,5,12.679425837320574,100.0
PatternSize,5,20.588235294117645,33.33333333333333
ResponseForClass,5,11.180124223602483,100.0
SourceLinesOfCode,5,11.180124223602483,100.0
WeightedMethodCount,5,10.99585062240664,100.0
