name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,179,18,161,10.05586592178771,100.0
FanIn,143,17,126,11.888111888111888,94.44444444444444
CouplingBetweenObjects,179,18,161,10.05586592178771,100.0
DepthOfInheritance,89,6,83,6.741573033707865,33.33333333333333
LackOfCohesionInMethods,124,9,115,7.258064516129033,50.0
LinesOfCode,179,18,161,10.05586592178771,100.0
SourceLinesOfCode,179,18,161,10.05586592178771,100.0
CommentLinesOfCode,47,11,36,23.404255319148938,61.111111111111114
CommentDensity,47,11,36,23.404255319148938,61.111111111111114
NumberOfChildren,23,6,17,26.08695652173913,33.33333333333333
ResponseForClass,179,18,161,10.05586592178771,100.0
WeightedMethodCount,179,18,161,10.05586592178771,100.0
CyclomaticComplexity,179,18,161,10.05586592178771,100.0
DepthOfNesting,54,11,43,20.37037037037037,61.111111111111114
OutDegree,177,18,159,10.16949152542373,100.0
OutDegreeDistinct,177,18,159,10.16949152542373,100.0
PatternSize,54,11,43,20.37037037037037,61.111111111111114
NumberOfPatternVariables,50,11,39,22.0,61.111111111111114
