name,precision,recall,mcc
CommentDensity,33.78378378378378,41.12149532710279,0.1907604450268627
CommentLinesOfCode,44.06130268199234,36.74121405750799,0.21788192130436795
CouplingBetweenObjects,52.08333333333334,52.0,0.3241755709409176
CyclomaticComplexity,42.06349206349206,46.006389776357835,0.25646178404874226
DepthOfInheritance,27.797833935018055,54.0,0.06415524948336662
DepthOfNesting,34.39490445859873,54.16666666666666,0.2516583441468023
FanIn,35.384615384615394,34.0,0.1152542623180102
FanOut,51.6574585635359,59.74440894568691,0.34822358481452265
LackOfCohesionInMethods,26.785714285714285,39.130434782608695,0.11250755730011247
LinesOfCode,52.87009063444109,55.91054313099042,0.3783882587023247
NumberOfChildren,27.2189349112426,35.41666666666667,0.058434254795531625
NumberOfPatternVariables,37.76223776223776,50.0,0.2110051754046932
OutDegree,41.592920353982294,49.20127795527157,0.2733365000038945
OutDegreeDistinct,36.36363636363637,51.4018691588785,0.2999609138149929
PatternSize,36.36363636363637,41.66666666666667,0.17082215599331754
ResponseForClass,45.79439252336449,49.4949494949495,0.2866353138840634
SourceLinesOfCode,54.46153846153846,56.549520766773156,0.39569306851061997
WeightedMethodCount,34.04255319148936,37.373737373737384,0.2233602955074709
