commit,faults,path,FractionRecursiveCalls,IsNested,FractionNestedMethods,FractionFunctions,IsFunction,HasFunctionParameters,FractionHigherOrderCalls,FractionFunctionCalls,FractionCurrying,FractionPatternMatching,FractionLazyValues,HasMultipleParameterLists,FunctionalScoreFraction,FractionVariables,FractionVariableDefinitions,FractionInnerVariableAssignment,FractionOuterVariableUsage,FractionOuterVariableAssignment,FractionSideEffects,IsSideEffect,FractionSideEffectCalls,FractionSideEffectFunctions,ImperativeScoreFraction,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package zio - class Schedule - method &&,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method ***,0.0,0.0,0.8333333333333334,0.8888888888888888,0.0,0.0,0.5,0.05555555555555555,0.1111111111111111,0.5,0.0,0.0,2.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method *** - method loop,0.06666666666666667,1.0,0.0,1.0,1.0,1.0,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.6,0.0,0.0,5.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method *>,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method ++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method +++,0.0,0.0,0.782608695652174,0.8260869565217391,0.0,0.0,0.391304347826087,0.08695652173913043,0.13043478260869565,0.5217391304347826,0.0,0.0,2.739130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method +++ - method loop,0.1111111111111111,1.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,5.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method <||>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method <*,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method <*>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method <<<,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method >>>,0.0,0.0,0.8,0.8666666666666667,0.0,0.0,0.7333333333333333,0.2,0.13333333333333333,0.6666666666666666,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method >>> - method loop,0.08333333333333333,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.25,0.08333333333333333,0.8333333333333334,0.0,0.0,6.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method ||,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method |||,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method addDelay,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method addDelayM,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method andThen,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method andThenEither,0.0,0.0,0.7368421052631579,0.7894736842105263,0.0,0.0,0.47368421052631576,0.15789473684210525,0.21052631578947367,0.42105263157894735,0.0,0.0,2.789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method andThenEither - method loop,0.21428571428571427,1.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.0,0.0,5.785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method as,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method check,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method checkM,0.0,0.0,0.7,0.9,0.0,1.0,0.6,0.2,0.2,0.5,0.0,0.0,4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method checkM - method loop,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method collectAll,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method compose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method combineWith,0.0,0.0,0.75,0.85,0.0,1.0,0.45,0.15,0.1,0.4,0.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method combineWith - method loop,0.06666666666666667,1.0,0.0,1.0,1.0,1.0,0.5333333333333333,0.2,0.06666666666666667,0.5333333333333333,0.0,0.0,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method contramap,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method delayed,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method delayedM,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method dimap,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method driver,0.0,0.0,0.0,0.9,0.0,0.0,0.95,0.0,0.0,0.45,0.0,0.0,2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method either,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method eitherWith,0.0,0.0,0.0,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method ensuring,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method ensuring - method loop,0.16666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,5.833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method fold,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method foldM,0.0,0.0,0.7,0.9,0.0,1.0,0.6,0.2,0.2,0.5,0.0,1.0,5.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method foldM - method loop,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method forever,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.0,2.8888888888888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method forever - method loop,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method jittered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method jittered,0.0,0.0,0.0,0.75,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method map,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method mapM,0.0,0.0,0.7,0.9,0.0,1.0,0.6,0.3,0.2,0.5,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method mapM - method loop,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.0,0.0,6.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method modifyDelay,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method modifyDelayM,0.0,0.0,0.7857142857142857,0.9285714285714286,0.0,1.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.6428571428571429,0.0,0.0,4.357142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method modifyDelayM - method loop,0.09090909090909091,1.0,0.0,1.0,1.0,1.0,0.8181818181818182,0.18181818181818182,0.09090909090909091,0.8181818181818182,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method onDecision,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,1.0,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.0,0.0,4.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method onDecision - method loop,0.16666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.0,0.0,6.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method provide,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method provide - method loop,0.16666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,5.833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method provideSome,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,1.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.0,3.8888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method provideSome - method loop,0.16666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,5.833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method reconsider,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method reconsiderM,0.0,0.0,0.7368421052631579,0.8421052631578947,0.0,1.0,0.6842105263157895,0.15789473684210525,0.10526315789473684,0.631578947368421,0.0,0.0,4.157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method reconsiderM - method loop,0.07142857142857142,1.0,0.0,1.0,1.0,1.0,0.8571428571428571,0.21428571428571427,0.07142857142857142,0.8571428571428571,0.0,0.0,6.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method repetitions,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method resetAfter,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method resetWhen,0.0,0.0,0.7,0.9,0.0,1.0,0.6,0.3,0.2,0.5,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method resetWhen - method loop,0.14285714285714285,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.0,0.0,6.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method run,0.0,0.0,0.8235294117647058,0.35294117647058826,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0,0.47058823529411764,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method run - method loop,0.07142857142857142,1.0,0.0,0.35714285714285715,0.0,1.0,0.2857142857142857,0.07142857142857142,0.0,0.5714285714285714,0.0,0.0,3.3571428571428577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method second,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule - method tapInput,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,1.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.0,3.8888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method tapInput - method loop,0.16666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,5.833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - class Schedule - method tapOutput,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,1.0,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.0,0.0,4.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
