name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,7,28.08735587434824,14.587561725513398,51.70150848722277,22.303470633524544
CommentLinesOfCode,7,28.08735587434824,14.587561725513398,51.70150848722277,22.303470633524544
CouplingBetweenObjects,7,17.124191354435983,8.111317477447237,100.0,0.0
CyclomaticComplexity,7,17.04836974015283,8.055808089521383,100.0,0.0
DepthOfInheritance,7,15.85676807459801,10.161772618764754,48.10959953817096,20.18204107405383
DepthOfNesting,7,25.30291895591359,11.949148679685516,63.21486000057429,12.44894080736326
FanIn,7,18.95329866340484,9.497378959841054,85.22794987080701,11.543886906841864
FanOut,7,17.127867597716396,8.107887659730807,100.0,0.0
LackOfCohesionInMethods,7,15.384350545787072,10.162280420761851,58.56979571265286,26.591387766772947
LinesOfCode,7,17.04836974015283,8.055808089521383,100.0,0.0
NumberOfChildren,7,22.453783564693914,13.267597831296484,30.870374798946223,24.855619588422112
NumberOfPatternVariables,7,26.150875545535957,12.76520047859563,59.42620978335265,10.811100132006969
OutDegree,7,17.439327133077512,8.219471903005335,99.4005994005994,1.0286355491893764
OutDegreeDistinct,7,17.439327133077512,8.219471903005335,99.4005994005994,1.0286355491893764
PatternSize,7,25.30291895591359,11.949148679685516,63.21486000057429,12.44894080736326
ResponseForClass,7,17.04836974015283,8.055808089521383,100.0,0.0
SourceLinesOfCode,7,17.04836974015283,8.055808089521383,100.0,0.0
WeightedMethodCount,7,17.055740072554823,8.04897574987943,100.0,0.0
