name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,149,12,137,8.053691275167784,3.2171581769436997
IsNested,142,10,132,7.042253521126761,2.680965147453083
FractionNestedMethods,209,60,149,28.708133971291865,16.0857908847185
FractionFunctions,1396,236,1160,16.9054441260745,63.27077747989276
IsFunction,330,84,246,25.454545454545453,22.5201072386059
HasFunctionParameters,435,71,364,16.32183908045977,19.034852546916888
FractionHigherOrderCalls,896,92,804,10.267857142857142,24.664879356568363
FractionFunctionCalls,359,81,278,22.56267409470752,21.715817694369974
FractionCurrying,178,23,155,12.921348314606742,6.166219839142091
FractionPatternMatching,861,118,743,13.704994192799072,31.63538873994638
FractionLazyValues,5,0,5,0.0,0.0
HasMultipleParameterLists,345,53,292,15.36231884057971,14.209115281501342
FunctionalScoreFraction,1865,302,1563,16.193029490616624,80.9651474530831
FractionVariables,19,3,16,15.789473684210526,0.8042895442359249
FractionVariableDefinitions,9,2,7,22.22222222222222,0.5361930294906166
FractionInnerVariableAssignment,15,3,12,20.0,0.8042895442359249
FractionOuterVariableUsage,9,0,9,0.0,0.0
FractionOuterVariableAssignment,3,0,3,0.0,0.0
FractionSideEffects,151,19,132,12.582781456953644,5.093833780160858
IsSideEffect,57,5,52,8.771929824561402,1.3404825737265416
FractionSideEffectCalls,101,8,93,7.920792079207921,2.1447721179624666
FractionSideEffectFunctions,15,0,15,0.0,0.0
ImperativeScoreFraction,151,19,132,12.582781456953644,5.093833780160858
HasPointsFraction,1922,310,1612,16.129032258064516,83.10991957104558
ParadigmScoreFraction,1922,310,1612,16.129032258064516,83.10991957104558
