name,count,percentage_faulty,percentage_total_faults
FractionCurrying,6,8.209793351302785,1.938161538837692
FractionFunctionCalls,7,8.14927646610815,6.629834254143647
FractionFunctions,7,7.528082506733233,44.58259325044405
FractionHigherOrderCalls,7,8.044752264251464,32.265112891478516
FractionInnerVariableAssignment,7,9.083263246425568,2.7624309392265194
FractionLazyValues,7,11.764705882352938,2.5449101796407185
FractionNestedMethods,7,13.330911732655284,12.078152753108348
FractionOuterVariableAssignment,7,6.153846153846153,1.1049723756906076
FractionOuterVariableUsage,7,7.831325301204821,1.9461077844311376
FractionPatternMatching,7,10.655737704918034,31.63538873994638
FractionRecursiveCalls,7,7.5396825396825395,1.3605442176870748
FractionSideEffectCalls,7,7.920792079207921,18.562874251497004
FractionSideEffectFunctions,7,15.087719298245613,1.1976047904191618
FractionSideEffects,7,9.713701431492842,23.268206039076382
FractionVariableDefinitions,7,11.680482290881688,2.7624309392265194
FractionVariables,7,10.106382978723405,5.688622754491018
FunctionalScoreFraction,7,7.936054810162719,73.20359281437125
HasFunctionParameters,7,7.829181494661921,9.413854351687391
HasMultipleParameterLists,7,9.35687263556116,24.689165186500894
HasPointsFraction,7,7.664835164835164,79.38820101966499
ImperativeScoreFraction,7,9.576612903225808,24.689165186500894
IsFunction,7,2.8571428571428568,0.3711952487008166
IsNested,7,7.042253521126762,3.168244719592134
IsSideEffect,7,6.010230179028133,7.035928143712575
ParadigmScoreFraction,7,7.700800441622964,78.91478514202477
