name,count,precision,recall,mcc
CommentDensity,7,25.079365079365076,42.857142857142854,0.1742530466633653
CommentLinesOfCode,7,32.7461139896373,37.362637362637365,0.2661176184201908
CouplingBetweenObjects,7,31.578947368421048,58.20895522388061,0.3101519496108875
CyclomaticComplexity,7,28.321678321678323,52.57731958762887,0.2705279025679504
DepthOfInheritance,7,12.36968160045083,62.7906976744186,0.041150855991048514
DepthOfNesting,7,30.434782608695656,39.130434782608695,0.24488629950762686
FanIn,7,15.021459227467814,30.232558139534877,0.07037036003544417
FanOut,7,34.26573426573427,61.19402985074627,0.3490522701099397
LackOfCohesionInMethods,7,19.322033898305087,46.511627906976734,0.0992392877417281
LinesOfCode,7,36.36363636363637,56.50602409638554,0.3450182540244361
NumberOfChildren,7,11.383219954648526,24.41860465116279,0.0402858218246254
NumberOfPatternVariables,7,31.69398907103825,31.34328358208955,0.2098276494085368
OutDegree,7,26.860841423948216,49.253731343283576,0.2428312832135568
OutDegreeDistinct,7,22.146118721461182,58.20895522388061,0.23065091074374466
PatternSize,7,29.94652406417112,31.958762886597928,0.2121749889489509
ResponseForClass,7,31.50684931506849,55.8139534883721,0.3131733832837514
SourceLinesOfCode,7,35.748792270531396,55.670103092783506,0.319782410033787
WeightedMethodCount,7,31.404958677685947,50.31055900621118,0.2792072575681627
