name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,3090,252,2838,8.155339805825243,100.0
DepthOfNesting,504,74,430,14.682539682539684,29.365079365079367
LinesOfCode,3090,252,2838,8.155339805825243,100.0
SourceLinesOfCode,3090,252,2838,8.155339805825243,100.0
CommentLinesOfCode,250,62,188,24.8,24.6031746031746
CommentDensity,250,62,188,24.8,24.6031746031746
OutDegree,2661,244,2417,9.169485155956407,96.82539682539682
OutDegreeDistinct,2661,244,2417,9.169485155956407,96.82539682539682
PatternSize,504,74,430,14.682539682539684,29.365079365079367
NumberOfPatternVariables,481,71,410,14.760914760914762,28.174603174603174
