commit,faults,path,IsRecursive,IsNested,HasNestedMethods,HasFunctions,IsFunction,HasFunctionParameters,HasHigherOrderCalls,HasFunctionCalls,HasCurrying,HasPatternMatching,HasLazyValues,HasMultipleParameterLists,FunctionalScoreBool,HasVariables,HasVariableDefinitions,HasInnerVariableAssignment,HasOuterVariableUsage,HasOuterVariableAssignment,HasSideEffects,IsSideEffect,HasSideEffectCalls,HasSideEffectFunctions,ImperativeScoreBool,HasPointsBool,ParadigmScoreBool
HEAD,0,package zio - class Schedule,0.0,0.0,0.2835820895522388,0.7761194029850746,0.0,0.47761194029850745,0.7761194029850746,0.5522388059701493,0.26865671641791045,0.29850746268656714,0.0,0.07462686567164178,3.5074626865671643,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.7910447761194029,0.7611940298507462
HEAD,1,package zio - object Schedule,0.03125,0.0,0.09375,0.84375,0.03125,0.375,0.8125,0.0625,0.1875,0.15625,0.03125,0.03125,2.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.84375
HEAD,0,package zio - object Schedule - object StepFunction,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - object Schedule - trait Decision,0.4,0.0,0.0,0.8,0.0,0.4,0.8,0.4,0.0,0.6,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
HEAD,1,package zio - class ZManaged,0.0,0.0,0.0,0.7723577235772358,0.0,0.4634146341463415,0.7398373983739838,0.2032520325203252,0.032520325203252036,0.13008130081300814,0.016260162601626018,0.25203252032520324,2.6097560975609757,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.008130081300813009,0.024390243902439025,0.7967479674796748,0.7853658536585365
HEAD,1,package zio - object ZManaged,0.03333333333333333,0.0,0.011111111111111112,0.7222222222222222,0.011111111111111112,0.4222222222222222,0.7222222222222222,0.26666666666666666,0.0,0.07777777777777778,0.05555555555555555,0.43333333333333335,2.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.011111111111111112,0.0,0.1,0.7555555555555555,0.7110846560846562
HEAD,0,package zio - object ZManaged - class AccessPartiallyApplied,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - object ZManaged - class AccessMPartiallyApplied,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - object ZManaged - class AccessManagedPartiallyApplied,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package zio - object ZManaged - class IfM,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
