name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,7,1.6912522218606725,0.45754922512973367,1.765384313306321,0.2388704912199116
HasCurrying,7,0.03299339204669331,0.02726555547957027,0.15305586221542478,0.09576409087132018
HasFunctionCalls,7,0.1610779738964261,0.1130106836345864,0.3424551717206708,0.09031931247913398
HasFunctionParameters,7,0.12602658327294,0.06238596043653131,0.321287166090491,0.06531939852435782
HasFunctions,7,0.4385450157437564,0.1395011002648126,0.47831780374866817,0.03262508417525753
HasHigherOrderCalls,7,0.3473324598542362,0.12339443793344716,0.46026284754499164,0.04768195625061048
HasInnerVariableAssignment,7,0.04367361126357224,0.02538252980473557,0.19261334315332485,0.0695119338033026
HasLazyValues,7,0.031939092775757814,0.02210716486940479,0.16384917032714755,0.06543599963162465
HasMultipleParameterLists,7,0.16542167584745093,0.0761666440196103,0.3583264472757771,0.07476778922694095
HasNestedMethods,7,0.14623313828126297,0.04527979607151815,0.3489988715244824,0.039951512572193704
HasOuterVariableAssignment,7,0.046205644972382456,0.075004912215644,0.1630999491010933,0.12153144959455539
HasOuterVariableUsage,7,0.06328266054943002,0.09092323160859785,0.19706516218302925,0.12493255829790174
HasPatternMatching,7,0.3267264315255377,0.09740217152121816,0.45954504698618603,0.030764349612524444
HasPointsBool,7,0.6685870524383907,0.0885855719472513,0.462994658179494,0.02703516982313886
HasSideEffectCalls,7,0.19921103678846833,0.15358516246740384,0.3562734477122949,0.12058375721558393
HasSideEffectFunctions,7,0.044996502071491924,0.04325023046160855,0.17885696309582547,0.10475243693213065
HasSideEffects,7,0.28733193524248896,0.18709229201571412,0.40539097828634435,0.11088804400295835
HasVariableDefinitions,7,0.04316617522410179,0.02924648060512943,0.18949944950474018,0.07390973704413094
HasVariables,7,0.09046371769283221,0.09054772215001748,0.2517120302891148,0.11798507181603624
ImperativeScoreBool,7,0.9584124661711175,0.7673180214779803,1.5258876013361606,0.631930528827014
IsFunction,7,0.04425331728889354,0.029609167979966006,0.1918379717687171,0.07459575728011891
IsNested,7,0.00010582010582010581,0.0002799736837105387,0.003888078956798694,0.010286889997472792
IsRecursive,7,0.028652322113144123,0.031229385330587937,0.14816109552771445,0.07686260630578562
IsSideEffect,7,0.17425665102260537,0.1504034302151411,0.3262905747664644,0.14538453044480468
ParadigmScoreBool,7,0.43892298306482175,0.18290347561614936,0.5641479404228689,0.06581973366350728
