name,count,mean,std
CommentDensity,7,0.031061559542922345,0.062113274646294125
CommentLinesOfCode,7,1.035928143712575,2.7196124271376827
CyclomaticComplexity,7,2.925373134328358,3.204715757467296
DepthOfNesting,7,3.6415094339622636,4.700770263200523
LinesOfCode,7,17.269461077844312,16.83171029321026
NumberOfPatternVariables,7,1.320754716981132,2.51013324006086
OutDegree,7,13.128676470588234,13.737580005090251
OutDegreeDistinct,7,6.993127147766322,5.489271103824311
PatternSize,7,7.764297385620915,14.832275373544526
SourceLinesOfCode,7,16.053921568627448,14.964906161422187
