name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,8,5,3,62.5,2.941176470588235
FractionNestedMethods,410,44,366,10.731707317073171,25.882352941176475
FractionFunctions,298,76,222,25.503355704697988,44.70588235294118
IsFunction,8,1,7,12.5,0.5882352941176471
HasFunctionParameters,118,30,88,25.423728813559322,17.647058823529413
FractionHigherOrderCalls,192,66,126,34.375,38.82352941176471
FractionFunctionCalls,101,18,83,17.82178217821782,10.588235294117647
FractionCurrying,8,1,7,12.5,0.5882352941176471
FractionPatternMatching,275,55,220,20.0,32.35294117647059
FractionLazyValues,16,5,11,31.25,2.941176470588235
HasMultipleParameterLists,176,42,134,23.863636363636363,24.705882352941178
FunctionalScoreFraction,817,116,701,14.198286413708692,68.23529411764706
FractionVariables,7,5,2,71.42857142857143,2.941176470588235
FractionVariableDefinitions,4,3,1,75.0,1.7647058823529411
FractionInnerVariableAssignment,4,3,1,75.0,1.7647058823529411
FractionOuterVariableUsage,4,3,1,75.0,1.7647058823529411
FractionOuterVariableAssignment,2,1,1,50.0,0.5882352941176471
FractionSideEffects,62,32,30,51.61290322580645,18.823529411764707
IsSideEffect,15,2,13,13.333333333333334,1.1764705882352942
FractionSideEffectCalls,29,12,17,41.37931034482759,7.0588235294117645
FractionSideEffectFunctions,1,0,1,0.0,0.0
ImperativeScoreFraction,62,32,30,51.61290322580645,18.823529411764707
HasPointsFraction,824,117,707,14.199029126213592,68.82352941176471
ParadigmScoreFraction,819,116,703,14.163614163614163,68.23529411764706
