name,count,mean,std
FunctionalScoreBool,7,0.9992339611486756,1.1553408191341534
HasCurrying,7,0.010737517063640687,0.08091850118838805
HasFunctionCalls,7,0.05189377930939408,0.1812912178103246
HasFunctionParameters,7,0.05186730058213135,0.1925857568006797
HasFunctions,7,0.251392923469394,0.3603238567640867
HasHigherOrderCalls,7,0.19273452316736606,0.32153694899831725
HasInnerVariableAssignment,7,0.015648016812486742,0.08641066346091096
HasLazyValues,7,0.00898827848310705,0.089233873432429
HasMultipleParameterLists,7,0.0974515824773872,0.24865928197350656
HasNestedMethods,7,0.055109983835431406,0.18911201312043108
HasOuterVariableAssignment,7,0.01,0.07709263042964731
HasOuterVariableUsage,7,0.022839076561298785,0.1187519299766838
HasPatternMatching,7,0.17137488092781786,0.33074426905219906
HasPointsBool,7,0.5482859658644281,0.4245512059011199
HasSideEffectCalls,7,0.07756991132124692,0.2150845447892239
HasSideEffectFunctions,7,0.007000988669007825,0.0643725198416603
HasSideEffects,7,0.15845004642336386,0.3197722994104581
HasVariableDefinitions,7,0.0108906587776153,0.07730539242850336
HasVariables,7,0.034651533613142695,0.14485389220796696
ImperativeScoreBool,7,0.36798714878639177,0.8814707492953296
IsFunction,7,0.010666666666666666,0.07285586484271606
IsNested,7,0.0,0.0
IsRecursive,7,0.005144098465353761,0.05133363012749821
IsSideEffect,7,0.061481791763941876,0.2100920569580527
ParadigmScoreBool,7,0.3083427177024957,0.52434289535665
