name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,7,15.503736556397646,8.667783192184887,23.69503788438875,17.330323734407482
CommentLinesOfCode,7,15.503736556397646,8.667783192184887,23.69503788438875,17.330323734407482
CouplingBetweenObjects,7,6.27507766074378,2.3546585288759148,99.62049536791805,0.5568708066778361
CyclomaticComplexity,7,6.703897770220463,2.7064770120351263,43.667084851684486,21.595787093394737
DepthOfInheritance,7,5.350066789033641,2.4540175746961537,63.64831801487496,8.081434278907652
DepthOfNesting,4,32.14285714285714,47.200541908569065,1.1276579111944967,1.3998196713332751
FanIn,7,5.851431066181328,2.092671887963616,77.65370390953738,15.670538417632168
FanOut,7,6.465359761442362,2.46511068614107,97.01731736454398,2.3024868859362724
LackOfCohesionInMethods,7,6.280524134479584,2.936591528533211,31.696949418714375,19.822886978492058
LinesOfCode,7,6.219916531091259,2.3344788555764553,100.0,0.0
NumberOfChildren,7,7.732188120998936,3.603628450542456,22.418782809470915,11.593492705023948
NumberOfPatternVariables,3,33.333333333333336,57.735026918962575,0.9615384615384616,1.665433468816228
OutDegree,7,8.825081439826416,3.8201727740424727,33.204176017501595,13.8485237850048
OutDegreeDistinct,7,8.825081439826416,3.8201727740424727,33.204176017501595,13.8485237850048
PatternSize,4,32.14285714285714,47.200541908569065,1.1276579111944967,1.3998196713332751
ResponseForClass,7,8.364691691118365,2.5991376666261248,64.63803091560467,19.001201206414766
SourceLinesOfCode,7,6.219916531091259,2.3344788555764553,100.0,0.0
WeightedMethodCount,7,6.700454715150234,2.7066120539212584,43.69163075251905,21.59585228745134
