name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1433,115,1318,8.025122121423585,92.74193548387096
FanIn,1451,115,1336,7.925568573397657,92.74193548387096
CouplingBetweenObjects,1570,124,1446,7.898089171974522,100.0
DepthOfInheritance,1170,90,1080,7.6923076923076925,72.58064516129032
LackOfCohesionInMethods,476,12,464,2.5210084033613445,9.67741935483871
LinesOfCode,1573,124,1449,7.8830260648442465,100.0
SourceLinesOfCode,1573,124,1449,7.8830260648442465,100.0
CommentLinesOfCode,58,11,47,18.96551724137931,8.870967741935484
CommentDensity,58,11,47,18.96551724137931,8.870967741935484
NumberOfChildren,347,29,318,8.357348703170029,23.387096774193548
ResponseForClass,634,32,602,5.047318611987381,25.806451612903224
WeightedMethodCount,572,25,547,4.370629370629371,20.161290322580644
CyclomaticComplexity,572,25,547,4.370629370629371,20.161290322580644
OutDegree,196,23,173,11.73469387755102,18.548387096774192
OutDegreeDistinct,196,23,173,11.73469387755102,18.548387096774192
