name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,5,32.46787246754658,20.951612300633577,60.94498381877022,31.86048722644704
CommentLinesOfCode,5,32.46787246754658,20.951612300633577,60.94498381877022,31.86048722644704
CouplingBetweenObjects,5,14.350250054696096,7.596922629178737,100.0,0.0
CyclomaticComplexity,5,14.350250054696096,7.596922629178737,100.0,0.0
DepthOfInheritance,5,13.786147222766942,8.563223129076432,68.15533980582525,20.02215182788753
DepthOfNesting,5,25.321046873685095,18.362551142193716,25.79935275080906,19.674717290892254
FanIn,5,14.333212694429701,5.143083696906785,45.834951456310684,6.561160451329712
FanOut,5,14.350250054696096,7.596922629178737,100.0,0.0
LackOfCohesionInMethods,5,14.001238390652997,8.875902267631982,81.36245954692556,24.611412180833536
LinesOfCode,5,14.350250054696096,7.596922629178737,100.0,0.0
NumberOfChildren,5,2.2105263157894735,4.9428871081574295,2.0388349514563107,4.558973546358795
NumberOfPatternVariables,4,22.823977306658705,20.700611018987825,26.74757281553398,22.560580600411882
OutDegree,5,15.164044490391797,7.651168772518284,95.56957928802589,7.156645309249562
OutDegreeDistinct,5,15.164044490391797,7.651168772518284,95.56957928802589,7.156645309249562
PatternSize,5,25.321046873685095,18.362551142193716,25.79935275080906,19.674717290892254
ResponseForClass,5,14.350250054696096,7.596922629178737,100.0,0.0
SourceLinesOfCode,5,14.350250054696096,7.596922629178737,100.0,0.0
WeightedMethodCount,5,14.342366890230675,7.603996280771625,99.90291262135922,0.21709397839803557
