name,count,mean mean,mean std,std mean,std std
FractionCurrying,7,0.010158831232627386,0.019806448825570533,0.053034017727845204,0.07198881375113789
FractionFunctionCalls,7,0.0195324420329056,0.015544589913267749,0.09866144286911722,0.0342881225171501
FractionFunctions,7,0.17990462921473252,0.117635350597291,0.2999244979502544,0.07754967832650198
FractionHigherOrderCalls,7,0.12493605594087745,0.07528367952865403,0.24337870959705427,0.06077289129917527
FractionInnerVariableAssignment,7,0.0023432061666462003,0.0017570133728925202,0.021194404772701323,0.010155299876516635
FractionLazyValues,7,0.00342551779871253,0.0025915305545358767,0.03920226361192906,0.02345896169756694
FractionNestedMethods,7,0.028646760483510215,0.015551014579520312,0.12024921011234536,0.01858470181335047
FractionOuterVariableAssignment,7,0.003888656347856054,0.004660495093447444,0.0333509539989854,0.02413299934199977
FractionOuterVariableUsage,7,0.014586779381299177,0.01743113826141827,0.07446502036034618,0.05800819457455099
FractionPatternMatching,7,0.09811747668301071,0.046797899083477,0.24470730621622758,0.051434985543398655
FractionRecursiveCalls,7,0.0036042842005718887,0.003531423035784454,0.028633963353555888,0.01602700009001005
FractionSideEffectCalls,7,0.040515693097482146,0.04153458965792272,0.12438625997134044,0.07087372974188187
FractionSideEffectFunctions,7,0.005056969293784915,0.005102103079397753,0.04480137814937263,0.029147438504010355
FractionSideEffects,7,0.12391712159059017,0.10323436360443572,0.27109300690302734,0.12739459887301643
FractionVariableDefinitions,7,0.0014915303116865741,0.0013212297550028505,0.014899440922747923,0.00783868549088858
FractionVariables,7,0.019481262340066287,0.020486508794088625,0.08723946210829399,0.06004280236194956
FunctionalScoreFraction,7,0.7942732557053933,0.3726966511366838,0.9997444684143646,0.2599966870690568
HasFunctionParameters,7,0.10846796832318928,0.09671638995577853,0.2839754782972274,0.09704675111253704
HasMultipleParameterLists,7,0.16478948117295394,0.09135177187743299,0.3512143080242732,0.09156167608512181
HasPointsFraction,7,0.5781138470489029,0.09563519847585203,0.48566175515367815,0.01791179987301516
ImperativeScoreFraction,7,0.3113241080279899,0.2706611616192154,0.6894068098142901,0.3463558239642404
IsFunction,7,0.028500597242776364,0.04105709013052632,0.14087214828628328,0.08646327179841279
IsNested,7,0.024189211379525344,0.009307362962629167,0.15080448584729114,0.030458727547517942
IsSideEffect,7,0.10004288949857838,0.09477927024774689,0.25938199127833844,0.1326729518296369
ParadigmScoreFraction,7,0.3189307998582597,0.19934107945446508,0.6032300619216124,0.06484118995367624
