name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FunctionalScoreBool,7,47.666700623546504,15.992977988941172,47.48882126358584,6.310968053628337,0.34532077436905323,0.10148332389345116
HasCurrying,7,35.97892345010508,23.243855522081482,9.986180779724293,6.85250164471963,0.11378365850877051,0.09550557903117946
HasFunctionCalls,7,38.90912589371781,15.256790404690113,23.666526821072118,12.347861589840171,0.17488984120017284,0.1105044927912739
HasFunctionParameters,7,45.173606121301255,13.090860347499019,24.978253434682333,9.893703957616928,0.2263756524439667,0.10808379563438227
HasFunctions,7,46.46331884917574,17.019035486055415,42.657462782826165,5.399145855550013,0.3117681087855502,0.10826607340334404
HasHigherOrderCalls,7,47.95463515066965,15.776225629212682,42.821091766197874,8.722435402847895,0.321330608675188,0.09517150401179127
HasInnerVariableAssignment,7,43.82327873227772,20.21408205410256,11.698814314444848,5.090922067587624,0.13758942600150578,0.0950983123935189
HasLazyValues,7,46.401302883763286,22.839582425483897,22.233693758248485,34.42374738802402,0.12898373973742008,0.054297965502967886
HasMultipleParameterLists,7,45.733700520868275,14.938199106717798,32.068621691986074,10.964628168527792,0.26023264413805824,0.10748543819256895
HasNestedMethods,7,46.83108858204447,23.59096391261444,31.951731161934866,3.493258109792593,0.26025025327747725,0.13033611295878503
HasOuterVariableAssignment,7,37.74505897925584,21.89964735365671,26.992156570147166,34.92671171001315,0.09043435944859209,0.08240611354566886
HasOuterVariableUsage,7,41.41813507603805,18.6913643188591,37.073729388893256,42.42128432529245,0.11375140268476339,0.07421781189269523
HasPatternMatching,7,40.97519048931372,19.53212373037048,52.082127495641316,6.679576535123393,0.3021334114407132,0.12885906367137945
HasPointsBool,7,44.1077722687491,15.310797394336916,46.93878634469677,10.203772399762338,0.31585124675526943,0.11785245597299329
HasSideEffectCalls,7,37.22686399699338,14.693937318614518,41.995328610110455,23.272784173310683,0.19838727148023177,0.13613318093599472
HasSideEffectFunctions,7,43.29567674546515,24.35905312661517,26.662425331189116,33.966699726435884,0.16018948892586835,0.13260898082073697
HasSideEffects,7,40.368462647548824,13.775670017090643,32.747625216184694,12.176330229135553,0.23048002096935577,0.10524563371279921
HasVariableDefinitions,7,47.83110199699513,20.689052594020556,10.155754762366444,6.049988764250381,0.14012432642351028,0.0701249553757253
HasVariables,7,41.49925144336979,18.968022510939104,25.34202795490526,20.619345530780897,0.15374385385849823,0.10481594087019143
ImperativeScoreBool,7,38.298608540936584,14.808633830058376,33.586693845909274,12.83645168919319,0.21867315430916112,0.136837151444419
IsFunction,7,35.031037340511624,13.850198899801052,36.39841179533586,43.03138508522217,0.09886412802416247,0.060440153332959316
IsNested,7,0.0,0.0,0.0,0.0,0.0,0.0
IsRecursive,7,47.0942848705652,18.729051211582014,18.173505537516206,33.4470755329314,0.1035475943488762,0.07296342721090494
IsSideEffect,7,29.757959332711028,17.61964054239368,35.655471923216766,29.209120454635144,0.10950148627126675,0.13512709447788027
ParadigmScoreBool,7,41.258843941710374,19.38580849083681,44.212313890084275,10.353910318461432,0.2618905264300468,0.1634885697353642
