name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CommentDensity,6,24.35612346531887,6.392810705316369,37.951709271159565,17.656505632539346,0.09639889479742515,0.10728067149563267
CommentLinesOfCode,6,26.522986856873228,7.835365845865967,33.96292163934015,17.832647825286905,0.11193676234798507,0.1090194939959828
CyclomaticComplexity,6,26.344088216458534,11.357595623504347,49.74211352446746,14.975314442381137,0.18381430969774812,0.13183712503039993
DepthOfNesting,6,25.94594161415259,8.339540481972488,52.17911892602053,10.455179349064396,0.1840307676615713,0.07129150932221667
LinesOfCode,6,29.439992418772547,10.09539769568637,49.17939405862009,4.316060866143512,0.21672924499648125,0.07236617201209
NumberOfPatternVariables,6,28.322123756420286,9.19354243606791,45.6497673325934,10.781561870689414,0.19675252342327576,0.09650036328394761
OutDegree,6,28.849291147410963,10.35855378737101,49.471647168932385,5.067051437659168,0.20974928802935655,0.056818840178085514
OutDegreeDistinct,6,26.96046820364863,10.588792654006372,54.57317584288327,9.929100304824287,0.20200657681026632,0.10287506794822339
PatternSize,6,31.24588287547445,10.683098281040001,44.46854424744148,7.804198332806858,0.2251849622343791,0.0700703044360912
SourceLinesOfCode,6,30.20625201634444,10.643297711915125,51.389929988699066,3.4857870404249565,0.2325508736070102,0.07039015050740599
