name,precision,recall,mcc
CommentDensity,25.675675675675674,39.39393939393939,0.1469740383546615
CommentLinesOfCode,28.125,29.09090909090909,0.14685149211354273
CyclomaticComplexity,26.66666666666667,53.545232273838636,0.19219453781948093
DepthOfNesting,25.0,50.0,0.13688002742136493
LinesOfCode,31.25,50.0,0.2009387025124999
NumberOfPatternVariables,27.36842105263159,41.075794621026894,0.1576584461356027
OutDegree,32.05128205128205,46.69926650366748,0.2325558663541479
OutDegreeDistinct,30.188679245283016,55.17241379310346,0.24209755914190464
PatternSize,30.18292682926829,42.857142857142854,0.21048406031346767
SourceLinesOfCode,33.33333333333333,50.36674816625917,0.22142467103362168
