commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07246376811594203,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class CassandraAsyncContext,6.0,8.0,0.25806451612903225,0.0,0.0,1.0,0.0
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07462686567164178,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07462686567164178,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class EncodingDslMacro,3.0,5.0,0.11363636363636363,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait LowPriorityImplicits,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl,2.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class EncodingDslMacro,3.0,5.0,0.11363636363636363,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait LowPriorityImplicits,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl,2.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class ScalarValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,2.0,7.0,0.12280701754385964,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait ReifyLiftings - class Reified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class ScalarValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,2.0,7.0,0.12280701754385964,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait ReifyLiftings - class Reified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class QuotedAst,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Quotation,6.0,7.0,0.2,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class ScalarValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,2.0,7.0,0.12280701754385964,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait ReifyLiftings - class Reified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class ScalarValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,2.0,7.0,0.12280701754385964,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait ReifyLiftings - class Reified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cassandra - object CqlIdiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package cassandra - trait CqlIdiom,20.0,124.0,0.9051094890510949,0.0,0.0,1.0,0.0
HEAD,2,package context - class Expand,3.0,8.0,0.36363636363636365,0.0,0.0,0.0,0.0
HEAD,2,package context - trait ContextMacro,5.0,10.0,0.16393442622950818,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07462686567164178,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package context - class ActionMacro,2.0,8.0,0.1702127659574468,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Unliftables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlDecoders,2.0,10.0,0.15625,0.0,0.0,0.0,0.0
HEAD,0,package mysql - trait FinagleMysqlDecoders - class FinangleMysqlDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MysqlAsyncContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlEncoders,7.0,12.0,0.2857142857142857,0.0,0.0,0.0,0.0
HEAD,0,package mysql - trait FinagleMysqlEncoders - class FinangleMySqlEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders,4.0,13.0,0.21311475409836064,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Encoders - class AsyncEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Encoders - method encoder - <$anon: (Encoders.this.Index  T  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Encoders - method mappedEncoder - <$anon: (Encoders.this.Index  I  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Encoders - method optionEncoder - <$anon: (Encoders.this.Index  Option[T]  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class PostgresAsyncContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
