name,count,percentage_faulty,percentage_total_faults
CommentDensity,7,14.44805194805195,13.323353293413177
CommentLinesOfCode,7,14.44805194805195,13.323353293413177
CyclomaticComplexity,7,7.0339425587467375,100.0
DepthOfNesting,7,10.8974358974359,32.62927895120175
LinesOfCode,7,7.0339425587467375,100.0
NumberOfPatternVariables,7,11.190476190476193,29.49061662198391
OutDegree,7,7.2631342613381245,96.06533036377134
OutDegreeDistinct,7,7.2631342613381245,96.06533036377134
PatternSize,7,10.8974358974359,32.62927895120175
SourceLinesOfCode,7,7.0339425587467375,100.0
