name,tn,fp,fn,tp,r2,precision,recall,mcc
Akka,12669,4768,463,765,-3.559766252039217,13.826134104464124,62.29641693811075,0.18974249340041466
Gitbucket,567,439,27,70,-4.267344387284541,13.7524557956778,72.16494845360825,0.16206359119745742
Http4s,2113,983,77,162,-3.7775237044965566,14.148471615720522,67.78242677824268,0.19573133233036435
Quill,1617,595,37,48,-6.721008403361346,7.4650077760497675,56.470588235294116,0.12433899115316158
Scio,2099,739,134,118,-2.7718967079432204,13.768961493582262,46.82539682539682,0.12706946583850295
Shapeless,2596,510,121,96,-2.110989284898264,15.841584158415841,44.23963133640553,0.17799321409264846
ZIO,3358,983,243,342,-1.378149900471946,25.81132075471698,58.46153846153847,0.2613017808262445
