name,count,percentage_faulty,percentage_total_faults
CountCurrying,6,8.209793351302785,1.938161538837692
CountFunctionCalls,7,8.14927646610815,6.629834254143647
CountFunctionParameters,7,7.829181494661921,9.413854351687391
CountFunctions,7,7.5374901341752185,44.58259325044405
CountHigherOrderCalls,7,8.044752264251464,32.265112891478516
CountInnerVariableAssignment,7,9.083263246425568,2.7624309392265194
CountLazyValues,7,11.764705882352938,2.5449101796407185
CountNestedDepth,7,7.042253521126762,3.168244719592134
CountNestedMethods,7,13.330911732655284,12.078152753108348
CountOuterVariableAssignment,7,6.153846153846153,1.1049723756906076
CountOuterVariableUsage,7,7.831325301204821,1.9461077844311376
CountParameterLists,7,9.35687263556116,24.689165186500894
CountPatternMatching,7,10.655737704918034,31.63538873994638
CountRecursiveCalls,7,7.5396825396825395,1.3605442176870748
CountSideEffectCalls,7,7.920792079207921,18.562874251497004
CountSideEffectFunctions,7,15.087719298245613,1.1976047904191618
CountSideEffects,7,9.713701431492842,23.268206039076382
CountVariableDefinitions,7,11.680482290881688,2.7624309392265194
CountVariables,7,10.106382978723405,5.688622754491018
FunctionalScoreCount,7,7.936054810162719,73.20359281437125
HasPointsCount,7,7.709311964631113,79.38820101966499
ImperativeScoreCount,7,9.576612903225808,24.689165186500894
IsFunction,7,2.8571428571428568,0.3711952487008166
IsSideEffect,7,6.010230179028133,7.035928143712575
ParadigmScoreCount,7,7.621951219512195,78.44136926438456
