name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,51,7,44,13.725490196078432,1.2433392539964476
CountNestedDepth,165,22,143,13.333333333333334,3.9076376554174073
CountNestedMethods,284,68,216,23.943661971830984,12.078152753108348
CountFunctions,1417,251,1166,17.71347918136909,44.58259325044405
IsFunction,86,14,72,16.27906976744186,2.4866785079928952
CountFunctionParameters,397,53,344,13.350125944584383,9.41385435168739
CountHigherOrderCalls,1124,196,928,17.437722419928825,34.81349911190053
CountFunctionCalls,189,33,156,17.46031746031746,5.86145648312611
CountCurrying,23,3,20,13.043478260869565,0.5328596802841918
CountPatternMatching,922,213,709,23.10195227765727,37.83303730017762
CountLazyValues,123,30,93,24.390243902439025,5.328596802841918
CountParameterLists,831,139,692,16.726835138387486,24.68916518650089
FunctionalScoreCount,2378,384,1994,16.14802354920101,68.20603907637656
CountVariables,221,52,169,23.52941176470588,9.236234458259325
CountVariableDefinitions,66,23,43,34.84848484848485,4.085257548845471
CountInnerVariableAssignment,126,34,92,26.984126984126984,6.039076376554174
CountOuterVariableUsage,160,35,125,21.875,6.216696269982238
CountOuterVariableAssignment,68,16,52,23.52941176470588,2.841918294849023
CountSideEffects,661,131,530,19.818456883509832,23.26820603907638
IsSideEffect,365,49,316,13.424657534246576,8.703374777975133
CountSideEffectCalls,478,107,371,22.384937238493723,19.005328596802844
CountSideEffectFunctions,20,4,16,20.0,0.7104795737122558
ImperativeScoreCount,700,139,561,19.857142857142858,24.68916518650089
HasPointsCount,2631,415,2216,15.773470163435958,73.71225577264654
ParadigmScoreCount,2575,409,2166,15.883495145631068,72.64653641207815
