commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,1,package types - object ConverterProvider,6.0,11.0,0.03806228373702422,0.0,0.0,0.0,0.0
HEAD,0,package types - object ConverterUtil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package transforms - trait ScalaFutureHandlers,2.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0
HEAD,0,package transforms - trait ScalaFutureHandlers - <$anon: scala.concurrent.ExecutionContext>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketExample,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketWriteExample,2.0,9.0,0.20454545454545456,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketJoinExample,1.0,4.0,0.13793103448275862,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketJoinExample - class UserAccountData,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package extra - object SortMergeBucketTransformExample,2.0,10.0,0.2857142857142857,0.0,0.0,0.0,0.0
HEAD,1,package repl - class ScioILoop,5.0,5.0,0.042735042735042736,0.0,0.0,0.0,0.0
HEAD,0,package repl - object ScioReplClassLoader,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader,1.0,11.0,0.1896551724137931,0.0,0.0,1.0,0.0
HEAD,0,package repl - object ScioReplClassLoader,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package repl - class ScioReplClassLoader,1.0,13.0,0.19402985074626866,0.0,0.0,1.0,0.0
HEAD,1,package repl - object ScioReplClassLoader,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader,1.0,13.0,0.19402985074626866,0.0,0.0,1.0,0.0
HEAD,1,package repl - object BaseScioShell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package repl - trait BaseScioShell,6.0,9.0,0.21951219512195122,0.0,0.0,2.0,0.0
HEAD,1,package repl - object ScioShell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - class Partitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package values - class PairSkewedSCollectionFunctions,3.0,19.0,0.10382513661202186,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait RunnerContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object NoOpContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object DirectContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package scio - object RunnerContext,2.0,2.0,0.038461538461538464,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs,7.0,22.0,0.2037037037037037,0.0,0.0,1.0,0.0
HEAD,0,package scio - object ContextAndArgs - trait ArgsParser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class DefaultParser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object TypedParser,1.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class TypedParser,5.0,10.0,0.22727272727272727,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class UsageOrHelpException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException - method attachUncaughtExceptionHandler - <$anon: Thread.UncaughtExceptionHandler>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext,9.0,15.0,0.1724137931034483,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext,12.0,17.0,0.060498220640569395,0.0,0.0,3.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish - <$anon: com.spotify.scio.ScioResult>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class DistCacheScioContext,1.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0
HEAD,0,package values - object SCollection,1.0,1.0,0.04,0.0,0.0,0.0,0.0
HEAD,0,package values - object SCollection - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package values - trait SCollection,60.0,78.0,0.12956810631229235,0.0,0.0,8.0,0.0
HEAD,0,package values - trait SCollection - method transform - <none>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - trait SCollection - method withPaneInfo - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - trait SCollection - method withTimestamp - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - trait SCollection - method withWindow - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - trait SCollection - method readFiles - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - class SCollectionImpl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait RunnerContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object NoOpContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object DirectContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object RunnerContext,2.0,2.0,0.038461538461538464,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs,7.0,22.0,0.2037037037037037,0.0,0.0,1.0,0.0
HEAD,0,package scio - object ContextAndArgs - trait ArgsParser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class DefaultParser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object TypedParser,1.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class TypedParser,5.0,10.0,0.22727272727272727,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class UsageOrHelpException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException - method attachUncaughtExceptionHandler - <$anon: Thread.UncaughtExceptionHandler>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext,9.0,15.0,0.1724137931034483,0.0,0.0,0.0,0.0
HEAD,1,package scio - class ScioContext,12.0,17.0,0.05985915492957746,0.0,0.0,3.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish - <$anon: com.spotify.scio.ScioResult>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class DistCacheScioContext,1.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Scalac,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package bigquery - trait ToTableRow,2.0,14.0,0.2,0.0,0.0,1.0,0.0
HEAD,1,package extra - package sparkey - package object sparkey,13.0,47.0,0.19915254237288135,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeyScioContext,2.0,2.0,0.07142857142857142,0.0,0.0,0.0,0.0
HEAD,1,package extra - package sparkey - package object sparkey - class SparkeyPairSCollection,5.0,40.0,0.3508771929824561,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySCollection,3.0,3.0,0.15789473684210525,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class ShardedSparkeyReader,3.0,2.0,0.05405405405405406,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySideInput,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - trait SparkeyWritable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[String String]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[Array[Byte] Array[Byte]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package extra - package sparkey - package object sparkey,13.0,27.0,0.12558139534883722,0.0,0.0,2.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeyScioContext,2.0,2.0,0.07142857142857142,0.0,0.0,0.0,0.0
HEAD,1,package extra - package sparkey - package object sparkey - class SparkeyPairSCollection,5.0,20.0,0.21505376344086022,0.0,0.0,2.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySCollection,3.0,3.0,0.15789473684210525,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class ShardedSparkeyReader,3.0,2.0,0.05405405405405406,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySideInput,0.0,0.0,0.0,0.0,0.0,0.0,0.0
