commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package dns - package internal - package object internal - object CachePolicyIsOrdered - method compare,6.0,3.0,8.0,8.0,0.0,0.0,9.0,4.0,64.0,2.0,1.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method getSSLContext,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method getContext,4.0,12.0,18.0,13.0,5.0,0.2777777777777778,13.0,6.0,16.0,2.0,-0.04347826086956525
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method constructContext,4.0,9.0,18.0,18.0,0.0,0.0,13.0,12.0,16.0,5.0,-0.3333333333333333
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method readFiles,3.0,9.0,15.0,15.0,0.0,0.0,8.0,6.0,8.0,2.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method createServerSSLEngine,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method createClientSSLEngine,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method createSSLEngine,2.0,0.0,8.0,8.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method verifyClientSession,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package ssl - class RotatingKeysSSLEngineProvider - method verifyServerSession,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method persist,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method persist,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method persist,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method none,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method unhandled,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method stop,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method stash,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method unstashAll,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package scaladsl - object Effect - method reply,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
HEAD,0,package scaladsl - object Effect - method noReply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package scaladsl - trait EffectBuilder - method events,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - trait EffectBuilder - method thenRun,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HEAD,0,package scaladsl - trait EffectBuilder - method thenStop,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - trait EffectBuilder - method thenUnstashAll,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - trait EffectBuilder - method thenReply,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HEAD,0,package scaladsl - trait EffectBuilder - method thenNoReply,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scaladsl - trait ReplyEffect - method thenUnstashAll,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package sharding - class ClusterShardingSingleShardPerEntitySpec - method join,1.0,0.0,11.0,11.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.5897435897435896
