commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package util - object ByteString,86.0,176.0,243.0,0.0,0.0,580.0,456.0,116.0,0.20279720279720279,6.0,243.0,0.0,1.0,0.0,1.05,0.95,0.0,0.0,0.05,0.05
HEAD,0,package util - object ByteString - object ByteString1C,12.0,18.0,28.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,0.3333333333333333,-0.3333333333333333
HEAD,0,package util - object ByteString - class ByteString1C,31.0,18.0,45.0,9.0,3.0,74.0,69.0,5.0,0.06756756756756757,0.0,57.0,39.0,1.7727272727272727,0.0,2.3181818181818183,2.090909090909091,0.0,0.0,0.18181818181818182,-0.18181818181818182
HEAD,0,package util - object ByteString - object ByteString1,15.0,19.0,31.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,13.0,0.0,1.25,0.0,2.0,1.75,0.0,0.0,0.0,0.0
HEAD,0,package util - object ByteString - class ByteString1,39.0,19.0,54.0,8.0,8.0,120.0,113.0,6.0,0.05042016806722689,0.0,69.0,56.0,2.1538461538461537,0.2692307692307692,4.269230769230769,3.4615384615384617,0.46153846153846156,0.11538461538461539,0.19230769230769232,-0.11538461538461539
HEAD,0,package util - object ByteString - object ByteStrings,21.0,13.0,32.0,1.0,0.0,48.0,47.0,1.0,0.020833333333333332,0.0,24.0,0.0,3.5,4.0,4.0,3.875,2.125,0.0,0.75,0.6013513513513513
HEAD,0,package util - object ByteString - class ByteStrings,40.0,13.0,51.0,8.0,4.0,165.0,154.0,6.0,0.0375,0.0,77.0,60.0,2.5,0.5833333333333334,6.708333333333333,4.166666666666667,1.0,0.2916666666666667,0.5,0.2048494983277592
HEAD,0,package util - object ByteString - class SerializationProxy,10.0,6.0,16.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package util - object ByteString - object Companion,21.0,9.0,29.0,0.0,0.0,7.0,8.0,0.0,0.0,6.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object ByteString - trait Companion,3.0,9.0,11.0,0.0,2.0,4.0,5.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package util - class ByteString,42.0,176.0,214.0,7.0,23.0,164.0,78.0,84.0,0.5185185185185185,6.0,89.0,48.0,1.0666666666666667,0.1111111111111111,1.2,1.1555555555555554,0.13333333333333333,0.044444444444444446,0.24444444444444444,0.10666666666666666
HEAD,0,package util - object CompactByteString,26.0,9.0,33.0,1.0,0.0,73.0,46.0,28.0,0.3783783783783784,2.0,37.0,0.0,1.8888888888888888,0.0,3.888888888888889,3.5555555555555554,0.0,0.0,0.2222222222222222,0.0
HEAD,0,package util - class CompactByteString,3.0,9.0,11.0,8.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - class ByteStringBuilder,44.0,12.0,53.0,3.0,17.0,280.0,208.0,71.0,0.25448028673835127,0.0,98.0,62.0,1.7222222222222223,0.5555555555555556,6.805555555555555,3.25,1.0555555555555556,0.2777777777777778,0.7777777777777778,0.13417544771319834
HEAD,0,package util - class ByteStringBuilder - method asOutputStream - <$anon: java.io.OutputStream>,6.0,0.0,6.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
HEAD,1,package fusing - object ActorGraphInterpreter,94.0,8.0,97.0,0.0,0.0,358.0,315.0,25.0,0.07352941176470588,0.0,133.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package fusing - object ActorGraphInterpreter - object Resume,3.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fusing - object ActorGraphInterpreter - object Snapshot,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fusing - object ActorGraphInterpreter - trait BoundaryEvent,4.0,7.0,10.0,1.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fusing - object ActorGraphInterpreter - trait SimpleBoundaryEvent,7.0,9.0,16.0,2.0,1.0,10.0,10.0,0.0,0.0,7.0,8.0,4.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.6666666666666666,-0.4444444444444444
HEAD,1,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary,40.0,7.0,42.0,2.0,4.0,169.0,141.0,9.0,0.06,0.0,59.0,35.0,2.5,0.5714285714285714,5.214285714285714,4.428571428571429,0.5714285714285714,0.14285714285714285,0.8571428571428571,-0.8571428571428571
HEAD,0,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary - class OnError,11.0,2.0,12.0,3.0,2.0,7.0,7.0,0.0,0.0,0.0,4.0,3.0,1.5,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary - class OnComplete,10.0,2.0,11.0,3.0,2.0,7.0,7.0,0.0,0.0,0.0,4.0,3.0,1.5,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary - class OnNext,10.0,2.0,11.0,3.0,2.0,7.0,7.0,0.0,0.0,0.0,4.0,3.0,1.5,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary - class OnSubscribe,10.0,2.0,11.0,3.0,2.0,8.0,8.0,0.0,0.0,0.0,5.0,3.0,1.5,0.0,1.5,1.5,0.0,0.0,0.5,-0.5
HEAD,0,package fusing - object ActorGraphInterpreter - class BatchingActorInputBoundary - method preStart - <none>,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fusing - object ActorGraphInterpreter - class SubscribePending,7.0,2.0,9.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,-0.3333333333333333
HEAD,0,package fusing - object ActorGraphInterpreter - class RequestMore,11.0,3.0,13.0,3.0,1.0,9.0,9.0,0.0,0.0,0.0,5.0,4.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,-0.3333333333333333
HEAD,0,package fusing - object ActorGraphInterpreter - class Cancel,11.0,7.0,17.0,3.0,1.0,10.0,10.0,0.0,0.0,0.0,5.0,4.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,-0.3333333333333333
HEAD,0,package fusing - object ActorGraphInterpreter - class OutputBoundaryPublisher,27.0,2.0,28.0,0.0,4.0,52.0,45.0,9.0,0.16666666666666666,0.0,20.0,15.0,3.0,2.2,5.0,3.6,7.0,0.4,0.6,-0.3291774891774891
HEAD,0,package fusing - object ActorGraphInterpreter - class ActorOutputBoundary,44.0,8.0,47.0,2.0,4.0,92.0,84.0,7.0,0.07692307692307693,0.0,52.0,27.0,2.076923076923077,0.9230769230769231,5.076923076923077,4.230769230769231,0.9230769230769231,0.23076923076923078,0.9230769230769231,-0.8741258741258741
HEAD,0,package fusing - object ActorGraphInterpreter - class ActorOutputBoundary - method subscribePending - <$anon: <error> with akka.stream.SubscriptionWithCancelException>,14.0,0.0,14.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,-0.6666666666666666
HEAD,0,package fusing - class GraphInterpreterShell,64.0,17.0,74.0,0.0,3.0,190.0,154.0,37.0,0.193717277486911,0.0,69.0,25.0,2.5,2.5,7.1,6.2,3.9,0.6,1.0,-0.668237644708233
HEAD,0,package fusing - class GraphInterpreterShell - class AsyncInput,11.0,1.0,11.0,2.0,1.0,19.0,19.0,0.0,0.0,0.0,9.0,3.0,3.0,0.0,6.0,6.0,0.0,0.0,1.0,-0.19999999999999996
