name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,1259,63,1196,5.003971405877681,100.0
DepthOfNesting,563,31,532,5.506216696269982,49.2063492063492
LinesOfCode,1259,63,1196,5.003971405877681,100.0
SourceLinesOfCode,1259,63,1196,5.003971405877681,100.0
CommentLinesOfCode,95,2,93,2.1052631578947367,3.1746031746031744
CommentDensity,95,2,93,2.1052631578947367,3.1746031746031744
OutDegree,1110,60,1050,5.405405405405405,95.23809523809523
OutDegreeDistinct,1110,60,1050,5.405405405405405,95.23809523809523
PatternSize,563,31,532,5.506216696269982,49.2063492063492
NumberOfPatternVariables,521,28,493,5.3742802303262955,44.44444444444444
