commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package nested - object Elements,12.0,2.0,13.0,0.0,0.0,23.0,9.0,14.0,0.6086956521739131,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package nested - object Elements - class OrderedSelect,6.0,3.0,9.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package nested - object Elements - object OrderedSelect,8.0,3.0,10.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package quotation - class NonQuotedException,2.0,11.0,13.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - object NonQuotedException,5.0,11.0,15.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package util - object Using,59.0,4.0,61.0,0.0,0.0,282.0,118.0,163.0,0.5800711743772242,0.0,34.0,0.0,8.0,4.0,13.0,6.0,19.0,2.0,1.0
HEAD,0,package util - object Using - class Manager,20.0,4.0,24.0,0.0,1.0,48.0,38.0,11.0,0.22448979591836735,0.0,14.0,10.0,6.0,5.0,7.0,7.0,8.0,2.0,0.3333333333333333
HEAD,0,package util - object Using - object Manager,11.0,4.0,14.0,0.0,0.0,35.0,7.0,29.0,0.8055555555555556,0.0,5.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0
HEAD,0,package util - object Using - object Manager - class Resource,3.0,3.0,6.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package util - object Using - trait Releasable,2.0,6.0,8.0,0.0,1.0,4.0,4.0,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,0,package util - object Using - object Releasable,6.0,6.0,10.0,0.0,0.0,6.0,6.0,1.0,0.14285714285714285,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Using - object Releasable - object AutoCloseableIsReleasable,4.0,2.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,3,package dsl - trait LowPriorityImplicits,6.0,2.0,7.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,3,package dsl - trait EncodingDsl,32.0,2.0,32.0,1.0,18.0,41.0,34.0,3.0,0.08108108108108109,1.0,26.0,20.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package util - object MapExtensions,18.0,4.0,21.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,12.0,7.0,0.0,0.0,1.0
HEAD,0,package util - object MapExtensions - class MapOps,5.0,1.0,6.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,6,package cassandra - trait Ops,26.0,7.0,26.0,0.0,0.0,28.0,28.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cassandra - trait Ops - class Options,10.0,4.0,13.0,0.0,1.0,5.0,6.0,0.0,0.0,3.0,8.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package cassandra - trait Ops - class QueryOps,9.0,1.0,9.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package cassandra - trait Ops - class EntityOps,2.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package cassandra - trait Ops - class InsertOps,10.0,1.0,10.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,6,package cassandra - trait Ops - class DeleteOps,10.0,1.0,10.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,6,package cassandra - trait Ops - class ActionOps,10.0,1.0,10.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0
HEAD,0,package cassandra - trait Ops - class MapOps,11.0,1.0,11.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package quotation - class State,3.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class FreeVariables,53.0,3.0,56.0,2.0,1.0,78.0,78.0,0.0,0.0,0.0,24.0,42.0,13.0,18.0,41.0,12.0,122.0,40.0,1.0
