commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package spark - class SparkDialect,1.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor,21.0,1.0,21.0,0.0,0.0,19.0,19.0,1.0,0.05,0.0,18.0,0.0,5.0,13.0,47.0,15.0,12.0,4.0,2.0,2.0
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,5.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,5.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,2,package spark - trait SparkIdiom,60.0,4.0,62.0,3.0,9.0,83.0,81.0,0.0,0.0,3.0,53.0,35.0,35.0,85.0,110.0,67.0,86.0,22.0,8.0,8.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,2.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method valueTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,4.0,0.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,2.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,130.0,2.0,130.0,0.0,15.0,642.0,236.0,46.0,0.16312056737588654,1.0,117.0,47.0,47.0,46.0,145.0,105.0,94.0,18.0,13.0,8.33854907539118
HEAD,1,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,4.0,5.0,8.0,8.0,9.0,4.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
