commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser,1.0,0.0,7.0,7.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]> - method token,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect,4.0,13.0,10.0,9.0,1.0,0.1,40.0,10.0,12.0,4.0,1.0,1.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]> - method token,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method parentTokenizer,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method multipleSelect,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method liftingPlaceholder,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method prepareForProbing,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method translate,3.0,10.0,14.0,14.0,0.0,0.0,15.0,12.0,6.0,2.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method concatFunction,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method identTokenizer,3.0,11.0,7.0,6.0,0.0,0.0,12.0,6.0,4.0,1.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer,4.0,11.0,13.0,13.0,0.0,0.0,5.0,4.0,7.0,2.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer - <$anon: io.getquill.context.spark.SparkIdiom> - method multipleSelect,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method selectValueTokenizer,4.0,11.0,9.0,8.0,0.0,0.0,17.0,9.0,10.0,2.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method propertyTokenizer,5.0,12.0,13.0,13.0,0.0,0.0,21.0,10.0,24.0,6.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method propertyTokenizer - method path,4.0,12.0,8.0,8.0,0.0,0.0,17.0,9.0,22.0,5.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method operationTokenizer,3.0,10.0,4.0,4.0,0.0,0.0,11.0,8.0,13.0,3.0,1.0,1.0
HEAD,2,package spark - trait SparkIdiom - method valueTokenizer,5.0,11.0,11.0,11.0,0.0,0.0,22.0,13.0,16.0,4.0,1.0,1.0
HEAD,0,package spark - trait SparkIdiom - method valueTokenizer - <$anon: io.getquill.context.spark.SparkIdiom> - method multipleSelect,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method tokenizeGroupBy,3.0,9.0,5.0,5.0,0.0,0.0,6.0,4.0,6.0,2.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - class Parser - method apply,1.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser - method unapply,3.0,5.0,7.0,7.0,0.0,0.0,4.0,4.0,9.0,4.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method patMatchParser,6.0,9.0,21.0,21.0,0.0,0.0,22.0,15.0,22.0,7.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method patMatchParser - method property,2.0,7.0,4.0,4.0,0.0,0.0,5.0,4.0,6.0,2.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method patMatchParser - method reductions,5.0,9.0,11.0,11.0,0.0,0.0,12.0,10.0,16.0,5.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method identClean,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method ident,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method warnConditionalsExist,7.0,9.0,22.0,22.0,0.0,0.0,17.0,6.0,25.0,4.0,1.0,-0.13513513513513514
HEAD,0,package quotation - trait Parsing - method warnConditionalsExist - method searchSubtreeAndWarn,2.0,0.0,5.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,-0.37500000000000006
HEAD,0,package quotation - trait Parsing - method operationParser,1.0,0.0,16.0,10.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator - method unapply,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method rejectOptions,2.0,0.0,4.0,4.0,0.0,0.0,12.0,4.0,0.0,0.0,1.0,-1.0
HEAD,0,package quotation - trait Parsing - method isBaseType,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method isNumeric,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method is,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method isTypeCaseClass,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method isTypeTuple,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method innerOptionParam,4.0,11.0,10.0,7.0,3.0,0.3,11.0,9.0,34.0,3.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method isOptionEmbedded,1.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method isOptionRowType,1.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method isCaseClass,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method firstConstructorParamList,1.0,0.0,7.0,6.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method ifThenSome,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method isCaseClassCompanion,1.0,0.0,20.0,17.0,3.0,0.15,21.0,14.0,0.0,0.0,1.0,1.0
HEAD,0,package quotation - trait Parsing - method isTypeConstructor,1.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
