commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package getquill - object QuillSparkContext,2.0,3.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - trait QuillSparkContext,61.0,3.0,62.0,4.0,6.0,115.0,77.0,37.0,0.32456140350877194,1.0,35.0,13.0,1.625,2.875,6.5,3.25,3.5,0.875,0.35119047619047616
HEAD,0,package getquill - trait QuillSparkContext - class StructElement,4.0,1.0,5.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,2.0,3.0,3.0,7.0,6.0,3.0,5.0,1.0,1.0
HEAD,0,package getquill - trait QuillSparkContext - object CaseAccessors,18.0,1.0,19.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,7.0,7.0,0.0,0.0,1.0
HEAD,5,package spark - class SparkDialect,42.0,2.0,44.0,2.0,9.0,55.0,55.0,0.0,0.0,1.0,40.0,27.0,2.7,7.6,9.8,5.4,6.7,2.0,0.7
HEAD,0,package spark - object SparkDialect,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object QuillSparkContext,2.0,3.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package getquill - trait QuillSparkContext,46.0,3.0,47.0,4.0,6.0,84.0,63.0,21.0,0.25,1.0,25.0,13.0,1.625,2.875,6.0,3.25,3.5,0.875,0.35119047619047616
HEAD,0,package getquill - trait QuillSparkContext - class StructElement,4.0,1.0,5.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,2.0,3.0,3.0,7.0,6.0,3.0,5.0,1.0,1.0
HEAD,1,package spark - class SparkDialect,41.0,2.0,43.0,2.0,9.0,54.0,54.0,0.0,0.0,1.0,39.0,26.0,2.6,7.6,9.1,5.3,6.1,1.9,0.7
HEAD,0,package spark - object SparkDialect,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package spark - trait Encoders,25.0,1.0,25.0,0.0,3.0,26.0,26.0,0.0,0.0,1.0,10.0,7.0,1.4,0.8,2.0,2.0,1.2,0.2,1.0
HEAD,1,package spark - class SparkDialect,40.0,2.0,42.0,2.0,8.0,49.0,49.0,0.0,0.0,1.0,35.0,23.0,2.5555555555555554,7.444444444444445,9.444444444444445,5.444444444444445,6.111111111111111,1.8888888888888888,0.6666666666666666
HEAD,0,package spark - object SparkDialect,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
