name,count,mean,std
CommentDensity,7,0.02004799112039905,0.06629505678609388
CommentLinesOfCode,7,0.2554744525547445,1.6154836918255178
CyclomaticComplexity,7,1.5949227373068433,1.20236261185113
DepthOfNesting,7,0.08614232209737828,0.6575722224885815
LinesOfCode,7,6.467153284671532,7.9939871226955965
NumberOfPatternVariables,7,0.02621722846441948,0.1956331743561787
OutDegree,7,4.875912408759124,7.43026356237083
OutDegreeDistinct,7,3.163025314105341,3.3859827795891966
PatternSize,7,0.12734082397003746,0.980391229229278
SourceLinesOfCode,7,6.0,6.432656188669823
