name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,7,0.9551777424831622,0.28327707189947804,1.1778813482297508,0.19540632450900744
HasCurrying,7,0.011468762310972842,0.014484502709710625,0.07194671628262285,0.057317535923146576
HasFunctionCalls,7,0.05849402163059837,0.04229432012868101,0.1882214067837645,0.0697281228543417
HasFunctionParameters,7,0.06520183987491075,0.03696279091431502,0.20689225644639078,0.05209107450235857
HasFunctions,7,0.25442627287540837,0.09713603645970723,0.36676673736878396,0.04723707657216664
HasHigherOrderCalls,7,0.18981447806456828,0.08690229674161186,0.32189333274716,0.0633115777177731
HasInnerVariableAssignment,7,0.014202921746111586,0.01009004911207274,0.08466514251440549,0.036753179767431456
HasLazyValues,7,0.012912118149341775,0.00932108865500125,0.08707119723131596,0.03958236364918908
HasMultipleParameterLists,7,0.10716680219231514,0.05532219570141494,0.2642061789997636,0.07722598960854377
HasNestedMethods,7,0.06832164574496549,0.048032878957769455,0.20528566511188265,0.05794827900140244
HasOuterVariableAssignment,7,0.015150124169713897,0.017391889089822213,0.08317060138574227,0.046243280687618404
HasOuterVariableUsage,7,0.034745785451748355,0.036520862484219874,0.1380911083158091,0.08350216573922593
HasPatternMatching,7,0.15630963656776986,0.043871728637576775,0.30597279563831387,0.03920738186523207
HasPointsBool,7,0.5008240525581427,0.08540500837879429,0.4317598953490211,0.016815835556308115
HasSideEffectCalls,7,0.10639827241592921,0.08054721089979452,0.2340793289870795,0.0979140326422138
HasSideEffectFunctions,7,0.014214525016979803,0.014405891322063461,0.08111848755812266,0.04973323882271036
HasSideEffects,7,0.169616741846569,0.11587640165086042,0.2892297501716049,0.10681424175165077
HasVariableDefinitions,7,0.014051550842484448,0.011954417666384788,0.08115681081648611,0.045587435002711806
HasVariables,7,0.04356976900624084,0.04031524845427128,0.15377235998699787,0.08356889153474684
ImperativeScoreBool,7,0.51046872696262,0.3748036953305307,0.9687069280213362,0.4411332441976016
IsFunction,7,0.023391991244624953,0.023992784665875035,0.11549573497700687,0.0702758575032745
IsNested,7,1.8184047320457507e-05,3.2664186739768855e-05,0.0009454048712283318,0.0019497333188689997
IsRecursive,7,0.007651989780366014,0.010050998536375807,0.054227133792062614,0.03573234659758029
IsSideEffect,7,0.0985190364668429,0.08010331018122116,0.22514044889839457,0.11215839991999434
ParadigmScoreBool,7,0.2380276743387841,0.1623811497352809,0.5007973091965015,0.0459893646058885
