name,count,mean mean,mean std,std mean,std std
FunctionalCalls,7,0.782346449462007,0.294812946907514,1.7195446896895488,0.5075976176409862
FunctionalScoreLandkroon,7,0.9145505572383357,0.3461847745567028,1.8102479725012446,0.5519580579572292
HasPointsLandkroon,7,0.43748827104344035,0.10577543960677811,0.4862955001188253,0.020172115157129675
HigherOrder,7,0.15640101574698728,0.10624387122087353,0.45872639494906364,0.21820679989906533
ImperativeCalls,7,0.14566936840913391,0.13845198494752495,0.6868702519997194,0.7330260169132078
ImperativeScoreLandkroon,7,0.8008145789368497,0.7396471706171587,3.1156283780606664,2.17413754550046
Nested,7,0.00018628448818032488,0.00039601046156469025,0.006881491688379629,0.012731240593265112
ParadigmScoreLandkroon,7,0.3789897504801413,0.09711226314538908,0.4700858478767142,0.028174304696683347
Recursive,7,0.02505888721588781,0.02607960417664659,0.1389295093407744,0.07307722697302016
SideEffects,7,0.6672884700500922,0.6681798719662119,2.8504296389281847,2.1374749949182887
