name,count,mean,std
FunctionalCalls,7,0.6937697993664202,1.4363595829638869
FunctionalScoreLandkroon,7,0.7940865892291447,1.4890906309223382
HasPointsLandkroon,7,0.4361140443505808,0.4914734820255364
HigherOrder,7,0.11298838437170013,0.4098551320306076
ImperativeCalls,7,0.11615628299894405,0.42043822007861176
ImperativeScoreLandkroon,7,0.5786694825765576,2.8151074473855573
Nested,7,0.0,0.0
ParadigmScoreLandkroon,7,0.36634144374046695,0.4760698459434253
Recursive,7,0.01583949313621964,0.12492030272427215
SideEffects,7,0.4636678200692042,2.063493018101344
