name,count,percentage_faulty,percentage_total_faults
CountCurrying,6,47.21522177419355,10.940347304105476
CountFunctionCalls,7,36.55913978494624,21.052631578947366
CountFunctionParameters,7,43.85964912280701,22.75280898876405
CountFunctions,7,31.797919762258537,66.57303370786515
CountHigherOrderCalls,7,34.72727272727273,58.98876404494382
CountInnerVariableAssignment,7,40.0,10.437881873727088
CountLazyValues,7,45.45454545454545,10.416666666666668
CountNestedDepth,1,100.0,0.2808988764044944
CountNestedMethods,7,51.0989010989011,31.596091205211724
CountOuterVariableAssignment,7,26.491732566498925,3.5087719298245608
CountOuterVariableUsage,7,54.54545454545454,7.894736842105262
CountParameterLists,7,39.42414174972315,38.86255924170617
CountPatternMatching,7,34.929577464788736,57.86516853932585
CountRecursiveCalls,7,40.0,5.8631921824104225
CountSideEffectCalls,7,32.0,33.42696629213483
CountSideEffectFunctions,7,50.98039215686275,8.049535603715169
CountSideEffects,7,35.61643835616439,52.08333333333334
CountVariableDefinitions,7,44.444444444444436,10.964912280701752
CountVariables,7,36.36363636363637,18.859649122807017
FunctionalScoreCount,7,29.49561403508772,83.28173374613003
HasPointsCount,7,24.35577722360765,87.67772511848341
ImperativeScoreCount,7,35.61643835616439,52.08333333333334
IsFunction,7,34.78260869565217,9.550561797752808
IsSideEffect,7,18.67469879518072,16.853932584269664
ParadigmScoreCount,7,26.40562248995984,81.42414860681114
