name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CountCurrying,6,42.10960982598839,18.317846894659038,10.130457380905272,7.415183128686122
CountFunctionCalls,7,33.415699677077306,13.987307499748372,26.791526821072118,17.50734599768462
CountFunctionParameters,7,40.067480789134,12.722380394224956,26.267935974364878,12.38865679927956
CountFunctions,7,30.663961086708106,10.927687834234863,67.94622320913882,12.452408044044416
CountHigherOrderCalls,7,33.60670923828812,10.200340333846398,59.55770706860864,13.259056412869064
CountInnerVariableAssignment,7,46.27669488134604,18.180829289543766,10.547832594742749,6.315097561134657
CountLazyValues,7,42.95640492457961,27.997552492961102,7.9479794725342,4.621212475913115
CountNestedDepth,1,100.0,,0.2808988764044944,
CountNestedMethods,7,46.83108858204447,23.59096391261444,31.951731161934866,3.493258109792593
CountOuterVariableAssignment,7,34.53059102777019,25.70167152058216,8.936601014591613,13.253425563766312
CountOuterVariableUsage,7,37.25639323113105,24.12600568229196,11.441112119310606,14.02500764509984
CountParameterLists,7,41.99837003394543,12.249215010544283,35.96377624503537,14.477442346355003
CountPatternMatching,7,34.475335228060274,11.64008517836243,58.238142533235305,12.89189525997777
CountRecursiveCalls,7,45.96394139423399,20.45909676501239,5.7835258489583214,4.416735487120399
CountSideEffectCalls,7,36.8783119052215,15.102164578589155,35.4977355091062,22.49286001750078
CountSideEffectFunctions,7,49.18464327026983,17.798771788135568,12.694063544929,12.651214897405962
CountSideEffects,7,34.46978272744432,12.521239642164877,45.61126885779025,22.810813757533158
CountVariableDefinitions,7,47.83110199699513,20.689052594020556,10.155754762366444,6.049988764250381
CountVariables,7,42.476319031239605,18.372098428696276,18.03821676720299,14.463176803921135
FunctionalScoreCount,7,27.158917448676416,10.795924508797409,82.53449487439615,8.499337902112519
HasPointsCount,7,25.29664076200393,10.56991724689899,86.20519415542014,9.418530755083335
ImperativeScoreCount,7,34.48498606732268,12.677388092979633,46.34068338654907,23.16036225168059
IsFunction,7,32.12518816642511,16.74770921211358,8.295989616109294,6.200156600754115
IsSideEffect,7,28.738809536313333,18.588484847336943,24.333908064120646,21.278497039886922
ParadigmScoreCount,7,26.123578413401468,10.667233423582022,80.75370195481538,10.014638967914742
