name,precision,recall,mcc
CountCurrying,45.901639344262286,11.855670103092782,0.13033704780592373
CountFunctionCalls,38.20224719101123,21.864951768488744,0.1678600894147421
CountFunctionParameters,44.91017964071857,24.115755627009648,0.19386990780222968
CountFunctions,38.888888888888886,45.0,0.2676635674868757
CountHigherOrderCalls,35.372848948374774,47.752808988764045,0.2864329177835633
CountInnerVariableAssignment,33.33333333333333,14.606741573033707,0.11037766248935332
CountLazyValues,46.75324675324675,10.714285714285714,0.13486806689734393
CountNestedDepth,0.0,0.0,0.0
CountNestedMethods,49.39759036144578,31.76895306859205,0.2801428231261216
CountOuterVariableAssignment,26.80628272251309,29.77528089887641,0.026873078730194986
CountOuterVariableUsage,30.215827338129497,38.291605301914586,0.13233442507730378
CountParameterLists,40.0,37.03703703703704,0.26890838581364523
CountPatternMatching,36.84210526315789,50.16077170418006,0.2805387019685052
CountRecursiveCalls,44.444444444444436,6.137184115523466,0.062111134116463664
CountSideEffectCalls,30.985915492957744,33.146067415730336,0.18846561866069814
CountSideEffectFunctions,50.0,23.214285714285715,0.13875759048258798
CountSideEffects,34.72222222222222,37.142857142857146,0.22040958531292107
CountVariableDefinitions,44.444444444444436,11.071428571428573,0.11408533722145335
CountVariables,36.36363636363637,19.666666666666664,0.18286412926795406
FractionCurrying,46.66666666666666,11.19293078055965,0.1368084794384712
FractionFunctionCalls,23.575129533678762,33.86243386243386,0.08635526138501788
FractionFunctions,31.42857142857143,51.0,0.21572534584353234
FractionHigherOrderCalls,34.723788049605425,46.66666666666666,0.236040349931346
FractionInnerVariableAssignment,33.33333333333333,14.606741573033707,0.1084275135539838
FractionLazyValues,44.594594594594604,10.714285714285714,0.11933130645671595
FractionNestedMethods,50.306748466257666,30.559646539027987,0.2679527799881527
FractionOuterVariableAssignment,26.07052896725441,12.218649517684886,0.05506482959419895
FractionOuterVariableUsage,30.939226519337016,31.460674157303373,0.13233442507730378
FractionPatternMatching,33.97435897435898,52.33333333333333,0.2663058851203253
FractionRecursiveCalls,39.16349809885931,11.254019292604502,0.0560633012014969
FractionSideEffectCalls,30.985915492957744,41.47909967845659,0.14856203235234428
FractionSideEffectFunctions,50.0,22.857142857142854,0.13875759048258798
FractionSideEffects,33.33333333333333,45.98070739549839,0.21971757639568507
FractionVariableDefinitions,33.33333333333333,11.235955056179774,0.11455320286250395
FractionVariables,36.36363636363637,19.33333333333333,0.1383777244978869
FunctionalCallsLandkroon,37.03703703703704,55.617977528089895,0.2705654115052246
FunctionalPointsLandkroon,35.988200589970496,56.78571428571429,0.2550989870239498
FunctionalScoreBool,33.383010432190765,70.66666666666667,0.23956653812143186
FunctionalScoreCount,39.74895397489539,50.26455026455026,0.2773673234200665
FunctionalScoreFraction,37.93103448275862,58.20105820105821,0.2631738433600367
HasCurrying,45.901639344262286,11.855670103092782,0.13033704780592373
HasFunctionCalls,38.20224719101123,21.864951768488744,0.1678600894147421
HasFunctionParameters,44.91017964071857,24.115755627009648,0.19386990780222968
HasFunctions,32.237871674491394,66.33333333333333,0.2529181370528953
HasHigherOrderCalls,32.340777502067816,58.33333333333334,0.2807695973996602
HasInnerVariableAssignment,40.0,10.89837997054492,0.11037766248935332
HasLazyValues,46.75324675324675,10.714285714285714,0.13486806689734393
HasMultipleParameterLists,40.0,37.03703703703704,0.26890838581364523
HasNestedMethods,49.39759036144578,31.76895306859205,0.2801428231261216
HasOuterVariableAssignment,26.80628272251309,12.218649517684886,0.05506482959419895
HasOuterVariableUsage,47.61904761904761,11.666666666666664,0.13233442507730378
HasPatternMatching,33.22884012539185,56.084656084656075,0.2761924476015368
HasPointsBool,25.088652482269502,88.36524300441826,0.2210595686801927
HasPointsCount,25.088652482269502,88.36524300441826,0.2210595686801927
HasPointsFraction,25.088652482269502,88.36524300441826,0.2210595686801927
HasPointsLandkroon,30.69306930693069,73.71134020618555,0.2362445198365623
HasSideEffectCalls,30.985915492957744,32.33333333333333,0.16370259565895393
HasSideEffectFunctions,50.0,23.214285714285715,0.13875759048258798
HasSideEffects,34.72222222222222,53.57142857142857,0.2123820696227412
HasVariableDefinitions,44.444444444444436,11.071428571428573,0.11408533722145335
HasVariables,36.36363636363637,16.853932584269664,0.15864941665274052
ImperativeCallsLandkroon,41.912632821723726,26.141384388807072,0.17099289961185932
ImperativePointsLandkroon,39.14893617021277,32.857142857142854,0.2381724804471104
ImperativeScoreBool,34.72222222222222,47.85714285714286,0.20159195296694568
ImperativeScoreCount,37.38872403560831,29.33333333333333,0.23444738196746598
ImperativeScoreFraction,33.846153846153854,43.40836012861736,0.2105531407040241
IsFunction,32.83582089552239,13.928571428571427,0.09544667743542387
IsNested,0.0,0.0,0.0
IsRecursive,44.444444444444436,6.137184115523466,0.062111134116463664
IsSideEffect,19.14833615341229,38.585209003215425,0.07442112122967752
ParadigmScoreBool,31.285988483685227,67.84565916398714,0.22107894361806446
ParadigmScoreCount,31.22605363984675,68.48874598070739,0.2229994342490552
ParadigmScoreFraction,31.106870229007637,72.0,0.25737899899924044
ParadigmScoreLandkroon,32.29759299781181,65.60846560846561,0.2551694760693577
