name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CountCurrying,36.85589568687202,23.220590303565867,17.46302519674152,19.803455731135557,0.1194546971936966,0.09713046139109231
CountFunctionCalls,37.1038594987653,13.276936547003109,25.026516908356967,13.065515502083407,0.17095310661063529,0.07312363432919243
CountFunctionParameters,40.476506040400054,12.520897887479768,26.666835442142908,11.877134879028379,0.19884602336257753,0.05039220065562122
CountFunctions,38.769301481305924,11.741328870489108,45.767144652576555,5.226254773174813,0.2652102389313194,0.05437751246616214
CountHigherOrderCalls,37.30572779041524,9.303134569637942,50.17312343277151,8.2898159974477,0.2663075589669095,0.05973413806159436
CountInnerVariableAssignment,43.37573189383228,19.098119371036063,23.016067517747306,29.256197273549297,0.13547362376816538,0.09472523583552293
CountLazyValues,46.03505608146992,22.589353658705335,22.275124314330846,34.37740516190586,0.1291139055366605,0.05724408749546533
CountNestedDepth,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,46.34049230615011,22.889870942386683,32.07387011756868,3.146862317518468,0.2563544612232612,0.12897544511196818
CountOuterVariableAssignment,31.277047796593582,19.606232080819755,42.09455431495525,40.37507319795539,0.0733065550382181,0.09164164098969148
CountOuterVariableUsage,37.15473824098957,18.18413120514638,42.84099661071857,39.60772403293888,0.08637990451432788,0.10030353626809801
CountParameterLists,41.51511826600222,11.273521876166186,35.50568470400585,14.0151309748451,0.2511375527360217,0.10254428025492159
CountPatternMatching,38.08548021248631,14.398318806111602,49.827360829008356,6.349667098824878,0.2690915425924353,0.08197547465479718
CountRecursiveCalls,47.73009928004514,17.57930384547981,18.317060074806403,33.73795607273899,0.10240906563089672,0.07421173075972717
CountSideEffectCalls,36.55292261635388,14.685022388023643,37.14794303933322,17.493320619547053,0.17838151575949662,0.12330447422004276
CountSideEffectFunctions,44.03044388338186,21.284226659451107,28.098591915004132,32.79875723951933,0.15794525974198656,0.13268420063057806
CountSideEffects,39.43128277619578,12.536586664661176,32.644544188391805,12.578244290854837,0.21589893386944622,0.08290957071949974
CountVariableDefinitions,47.39441364783081,19.860320675544976,10.270566285756983,6.223331912827692,0.13860723272918668,0.06878826468169995
CountVariables,40.905178562932754,17.66528457749874,30.725834661235464,31.591389478247088,0.14850654003206326,0.10397982532051703
FractionCurrying,37.26693091250498,23.209832088735112,23.041928051939948,34.449905958670605,0.12124425467779516,0.0950730742931668
FractionFunctionCalls,27.044522351056397,6.28873667622341,38.80487888571692,27.34990767936044,0.06892505552969083,0.10270419342502829
FractionFunctions,33.057797985580244,10.782931179062214,52.89564111519534,12.23004666792738,0.23179420595174025,0.06075280385731587
FractionHigherOrderCalls,34.7995144737085,9.503876334637713,50.66881846051814,13.78622073194343,0.2406523399798961,0.05707672376321429
FractionInnerVariableAssignment,43.2715442809214,19.169855398349156,24.29245436114446,32.848428980401394,0.12994603752032124,0.10375866962830589
FractionLazyValues,45.679567127150385,22.624457006213863,20.65405847677016,30.65608039663272,0.12210358204343616,0.06614915202191161
FractionNestedMethods,46.43103784403343,22.609223231563536,30.68924990386557,2.3118826980666394,0.2501219246302823,0.12024605505805401
FractionOuterVariableAssignment,36.17566579096538,18.652949667087974,34.43427165473383,41.838120200244724,0.07949761662921402,0.07988446895426267
FractionOuterVariableUsage,36.97044560647455,18.310685559997832,41.61575034402007,40.515569074473035,0.09486194928062877,0.07617814551665336
FractionPatternMatching,36.01187191280874,11.359371022759694,51.32767410445673,11.743677038074939,0.26156861528546743,0.08633254008840985
FractionRecursiveCalls,42.263204562650394,22.00526625981722,23.267802078108208,32.452552340142745,0.08554180399135165,0.09095546882647454
FractionSideEffectCalls,36.114969481603715,16.46191457025424,42.07281369057599,26.43822379218166,0.17160917803731318,0.13198251251025048
FractionSideEffectFunctions,44.44013243286401,21.825370086413297,27.6899026661087,32.79052650175751,0.15798158470949256,0.13324811659878008
FractionSideEffects,35.526995880534464,13.392187792072612,39.81711806883913,18.795302597383188,0.19488576537872615,0.11096442326618823
FractionVariableDefinitions,44.268665863980935,22.01096892014304,22.515464244940656,29.24579325627085,0.12686851567150262,0.08967227690425997
FractionVariables,40.06083570832362,18.42026523961696,30.478341849677854,31.548418045860075,0.13993797489491525,0.10361744707624292
FunctionalCallsLandkroon,37.571500857611284,13.32609662062709,51.45396397387827,9.609015470819852,0.27294778881416326,0.09864493574642488
FunctionalPointsLandkroon,36.70902890937076,12.814755745855525,53.341040294948534,9.63360934742222,0.2685450566096037,0.1000503634782532
FunctionalScoreBool,33.33070863407589,13.379418419268756,65.10461621293238,9.764216497868523,0.2743025173660397,0.09639705567853264
FunctionalScoreCount,40.32078764603715,11.795415944555794,49.67672120506029,4.566263982835614,0.2971906269735803,0.06625157024154583
FunctionalScoreFraction,34.92168655337479,13.519189874542437,59.56962319219609,7.070482614789514,0.2753428878532477,0.09406333776644935
HasCurrying,36.85589568687202,23.220590303565867,17.46302519674152,19.803455731135557,0.1194546971936966,0.09713046139109231
HasFunctionCalls,35.354009761299466,14.58370650880021,27.526516908356964,17.130956775277696,0.15954454003289978,0.06359515796689766
HasFunctionParameters,40.476506040400054,12.520897887479768,26.666835442142908,11.877134879028379,0.19884602336257753,0.05039220065562122
HasFunctions,31.039685679422917,9.922090877155311,67.53638487042655,12.29901545410654,0.24754812111969499,0.0548979224701028
HasHigherOrderCalls,33.60906635996515,9.023629533360301,58.58059878246195,13.940459981331742,0.25407156254655777,0.06341799685659981
HasInnerVariableAssignment,45.84414783163597,16.983122552458976,10.69558376869213,6.324349705483149,0.14373547472853695,0.08119489443788411
