name,count,mean,std
CommentDensity,7,0.028571428571428574,0.07559289460184544
CommentLinesOfCode,7,1.2307692307692308,3.085603178162115
CouplingBetweenObjects,7,10.615384615384617,6.980412154461501
CyclomaticComplexity,7,3.972972972972973,4.21134000234897
DepthOfInheritance,7,1.0,0.9105946892051284
DepthOfNesting,7,0.4230769230769231,1.4743968779966108
FanIn,7,1.0,1.9023794624226835
FanOut,7,9.41891891891892,6.761542837138691
LackOfCohesionInMethods,7,1.7275086505190311,1.4815361942758922
LinesOfCode,7,19.83333333333333,29.038539291111423
NumberOfChildren,7,0.15384615384615385,0.4472135954999581
NumberOfPatternVariables,7,0.1153846153846154,0.4314554973040048
OutDegree,7,10.81098615916955,19.069532757732965
OutDegreeDistinct,7,5.955555555555557,7.21411355215832
PatternSize,7,0.8461538461538461,2.8522595631156387
ResponseForClass,7,5.288888888888889,6.229729031789732
SourceLinesOfCode,7,19.166666666666668,24.17332207589839
WeightedMethodCount,7,3.972972972972973,4.21134000234897
