name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FunctionalCalls,35.58957486420689,13.022412594972808,44.49600553097124,9.009349096854947,0.2777315112035482,0.10298238627447162
FunctionalScoreLandkroon,35.801431533167914,12.981071104910086,48.66637029826443,4.364523050517349,0.29206607897084896,0.086475075113474
HasPointsLandkroon,33.22516287476948,11.737558947965613,47.77896471487701,7.441863939160596,0.2659172455257467,0.07047046028797653
HigherOrder,35.50576125154349,8.77930479496706,24.221497724830094,12.235828527637635,0.1965580597611726,0.10271826226759916
ImperativeCalls,32.36870628677351,12.803019616440036,15.868847364790572,10.07775055874742,0.1241339746911999,0.09104174436059899
ImperativeScoreLandkroon,31.271240397939998,14.674164251961937,20.860702460480304,10.353732398270374,0.13115136069925418,0.09711944098240008
Nested,0.0,0.0,0.0,0.0,0.0,0.0
ParadigmScoreLandkroon,33.811255648695905,12.417476344249195,51.29055418754058,9.714538411555415,0.27984762725934964,0.06747115014972221
Recursive,37.409922948634005,19.85738709004958,8.004167184115024,6.21483517346187,0.07110270620461101,0.0755117655116276
SideEffects,37.17676145917465,23.97942520836425,22.143509673694158,18.419048590714617,0.12514539714868517,0.10171283943708519
