name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,4106,680,3426,16.561130053580126
Gitbucket,289,70,219,24.22145328719723
Http4s,943,145,798,15.37645811240721
Quill,671,55,616,8.19672131147541
Scio,947,162,785,17.106652587117214
Shapeless,1633,170,1463,10.41028781383956
ZIO,633,72,561,11.374407582938389
