name,count,mean,std
CommentDensity,7,0.07643554346234227,0.1264976271910402
CommentLinesOfCode,7,7.958256029684602,26.590905404892418
CouplingBetweenObjects,7,23.153424657534245,25.461099838729314
CyclomaticComplexity,7,3.4033816425120773,3.2459926730550785
DepthOfInheritance,7,0.9778761061946902,1.2144706564330428
DepthOfNesting,7,4.386473429951692,4.409773356278224
FanIn,7,4.446886446886447,9.538869891720346
FanOut,7,19.170886075949365,23.439183719440607
LackOfCohesionInMethods,7,1.3846153846153846,3.40034798229866
LinesOfCode,7,42.51132686084142,91.62604814142885
NumberOfChildren,7,0.4045307443365696,1.6832006755651596
NumberOfPatternVariables,7,2.7016908212560384,7.021414612414793
OutDegree,7,14.197802197802195,21.67158093563211
OutDegreeDistinct,7,5.416438356164384,4.6753373932175295
PatternSize,7,13.221238938053098,29.03871764764352
ResponseForClass,7,11.772602739726029,14.216764869706957
SourceLinesOfCode,7,36.42718446601942,76.48459110302177
WeightedMethodCount,7,7.613698630136986,16.379809628941214
