name,count,mean mean,mean std,std mean,std std
CountCurrying,7,0.04091932957663635,0.04949831616028643,0.2314409275102147,0.2263763240378238
CountFunctionCalls,7,0.17966182217509172,0.15003912187925092,0.5735583292409637,0.34961262804744997
CountFunctionParameters,7,0.15640101574698728,0.10624387122087353,0.45872639494906364,0.21820679989906533
CountFunctions,7,1.2783548211871019,0.7351489922506622,2.818986317686456,1.5512596831460161
CountHigherOrderCalls,7,0.7462145178278318,0.4355284580421218,1.8481458053524735,1.037139667454574
CountInnerVariableAssignment,7,0.11596283249145631,0.1225044726856449,0.7230464003819422,0.6919123601646823
CountLazyValues,7,0.05043740746750549,0.03188592875100333,0.3442976977172284,0.16629703605546398
CountNestedDepth,7,0.00018628448818032488,0.00039601046156469025,0.006881491688379629,0.012731240593265112
CountNestedMethods,7,0.2486240207983728,0.09790067739128402,0.8933101347497552,0.3040211533224051
CountOuterVariableAssignment,7,0.08674538704702564,0.11221621750125092,0.5534093956388898,0.5303020506767503
CountOuterVariableUsage,7,0.24942755952557377,0.3084880064486121,1.3374433292889822,1.0926226872115548
CountParameterLists,7,0.19485617113033218,0.07718425009565674,0.46048714002579644,0.10944125872511443
CountPatternMatching,7,0.48989290185160217,0.17783009570330344,1.155074195096679,0.3517083542857265
CountRecursiveCalls,7,0.06668733130216334,0.09793024866472645,0.45414726277781586,0.4916080317677163
CountSideEffectCalls,7,0.7505641637665051,0.6841208263453611,2.417741152669491,1.9121171673276538
CountSideEffectFunctions,7,0.07093516076157999,0.08206988940374595,0.4145286160660126,0.5124655780427908
CountSideEffects,7,1.7321674605655197,1.5028180663874724,4.684016248336559,3.812299220516424
CountVariableDefinitions,7,0.07681979755573864,0.07375635702587888,0.38367696366501886,0.24820834625174218
CountVariables,7,0.6672884700500922,0.6681798719662119,2.8504296389281847,2.1374749949182887
FunctionalScoreCount,7,3.1998563021237785,1.4727464332395956,6.094971624821205,2.856888542877756
HasPointsCount,7,0.6286623809060908,0.08819762815354963,0.4758048684376766,0.028364437721614316
ImperativeScoreCount,7,3.7922116845226137,3.3347112825237266,11.31719460893733,8.78055013760836
IsFunction,7,0.04377495072326754,0.034303426038640755,0.18811693815976363,0.08020517237708051
IsSideEffect,7,0.16491526272256932,0.12006197851819683,0.3295736013545432,0.14054223875469954
ParadigmScoreCount,7,0.40906198285952106,0.13420767809619316,0.5685342547975287,0.04957516753951037
