name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,8720,1358,7362,15.573394495412844
Gitbucket,577,178,399,30.849220103986134
Http4s,1233,300,933,24.330900243309003
Quill,825,189,636,22.90909090909091
Scio,1601,311,1290,19.42535915053092
Shapeless,2723,277,2446,10.172603745868528
ZIO,2134,280,1854,13.120899718837864
