name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,18665,1228,17437,6.5791588534690595
Gitbucket,1103,97,1006,8.794197642792383
Http4s,3335,239,3096,7.166416791604198
Quill,2297,85,2212,3.7004788855028297
Scio,3090,252,2838,8.155339805825243
Shapeless,3323,217,3106,6.530243755642491
ZIO,4926,585,4341,11.875761266747869
