name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,80,40,40,50.0,13.88888888888889
FractionNestedMethods,255,100,155,39.21568627450981,34.72222222222222
FractionFunctions,1521,244,1277,16.042077580539118,84.72222222222221
IsFunction,83,39,44,46.98795180722892,13.541666666666666
HasFunctionParameters,548,140,408,25.547445255474454,48.61111111111111
FractionHigherOrderCalls,1206,226,980,18.739635157545607,78.47222222222221
FractionFunctionCalls,832,165,667,19.831730769230766,57.291666666666664
FractionCurrying,128,61,67,47.65625,21.180555555555554
FractionPatternMatching,705,176,529,24.9645390070922,61.111111111111114
FractionLazyValues,66,30,36,45.45454545454545,10.416666666666668
HasMultipleParameterLists,314,122,192,38.853503184713375,42.36111111111111
FunctionalScoreFraction,1646,251,1395,15.249088699878493,87.15277777777779
FractionVariables,152,35,117,23.026315789473685,12.152777777777777
FractionVariableDefinitions,106,32,74,30.18867924528302,11.11111111111111
FractionInnerVariableAssignment,99,30,69,30.303030303030305,10.416666666666668
FractionOuterVariableUsage,79,11,68,13.924050632911392,3.8194444444444446
FractionOuterVariableAssignment,45,6,39,13.333333333333334,2.083333333333333
FractionSideEffects,647,155,492,23.956723338485318,53.81944444444444
IsSideEffect,184,32,152,17.391304347826086,11.11111111111111
FractionSideEffectCalls,348,86,262,24.71264367816092,29.86111111111111
FractionSideEffectFunctions,117,65,52,55.55555555555556,22.569444444444446
ImperativeScoreFraction,659,155,504,23.520485584218513,53.81944444444444
HasPointsFraction,1743,263,1480,15.088927137119908,91.31944444444444
ParadigmScoreFraction,1653,255,1398,15.426497277676951,88.54166666666666
