name,count,precision,recall,mcc
CommentDensity,7,31.355932203389827,41.57303370786517,0.16265327672051189
CommentLinesOfCode,7,44.444444444444436,32.5,0.231467004795561
CouplingBetweenObjects,7,47.32142857142857,51.35699373695199,0.25116945965044685
CyclomaticComplexity,7,32.11009174311927,39.325842696629216,0.13482940288497267
DepthOfInheritance,7,26.760563380281692,53.33333333333334,0.09722091361728626
DepthOfNesting,7,32.03883495145632,42.857142857142854,0.18491571934321485
FanIn,7,35.41666666666667,32.5,0.07255220489327023
FanOut,7,43.269230769230774,61.79775280898876,0.3329804626869129
LackOfCohesionInMethods,7,38.369304556354926,40.84507042253522,0.14855371174272167
LinesOfCode,7,50.485436893203875,55.00000000000001,0.3759343727377607
NumberOfChildren,7,30.269413629160066,32.5,0.04754999315106693
NumberOfPatternVariables,7,32.53012048192771,36.36363636363637,0.1309496356607159
OutDegree,7,35.64356435643564,40.44943820224719,0.15010615681077044
OutDegreeDistinct,7,28.24427480916031,41.57303370786517,0.11985278921056206
PatternSize,7,33.75,38.02816901408449,0.15033746203370252
ResponseForClass,7,46.66666666666666,53.521126760563384,0.3310524524472868
SourceLinesOfCode,7,50.0,52.5,0.3406514342889305
WeightedMethodCount,7,46.42857142857143,50.649350649350644,0.3028129541385187
