name,count,percentage_faulty,percentage_total_faults
CommentDensity,7,26.71232876712329,59.30232558139535
CommentLinesOfCode,7,26.71232876712329,59.30232558139535
CouplingBetweenObjects,7,11.021112734032664,100.0
CyclomaticComplexity,7,15.37645811240721,82.08955223880598
DepthOfInheritance,7,9.021113243761995,59.30232558139535
DepthOfNesting,7,30.62015503875969,46.50602409638554
FanIn,7,11.388888888888891,82.77108433734941
FanOut,7,11.236749116607774,99.3975903614458
LackOfCohesionInMethods,7,12.06896551724138,63.3879781420765
LinesOfCode,7,11.00357947766141,100.0
NumberOfChildren,7,11.875,20.602409638554214
NumberOfPatternVariables,7,30.53097345132743,43.493975903614455
OutDegree,7,16.45274212368728,79.06976744186046
OutDegreeDistinct,7,16.45274212368728,79.06976744186046
PatternSize,7,30.62015503875969,46.50602409638554
ResponseForClass,7,14.920948616600793,90.20618556701031
SourceLinesOfCode,7,11.00357947766141,100.0
WeightedMethodCount,7,15.37645811240721,82.08955223880598
