name,count,percentage_faulty,percentage_total_faults
CommentDensity,7,13.569321533923304,9.63855421686747
CommentLinesOfCode,7,13.569321533923304,9.63855421686747
CyclomaticComplexity,7,7.4685062987402535,100.0
DepthOfNesting,7,9.539805172992944,42.570281124498
LinesOfCode,7,7.4685062987402535,100.0
NumberOfPatternVariables,7,9.501445086705203,40.160642570281134
OutDegree,7,7.535515750463248,98.46938775510205
OutDegreeDistinct,7,7.535515750463248,98.46938775510205
PatternSize,7,9.539805172992944,42.570281124498
SourceLinesOfCode,7,7.4685062987402535,100.0
