name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,3028,122,2906,4.0290620871862615,100.0
DepthOfNesting,22,2,20,9.090909090909092,1.639344262295082
LinesOfCode,3028,122,2906,4.0290620871862615,100.0
SourceLinesOfCode,3028,122,2906,4.0290620871862615,100.0
CommentLinesOfCode,49,5,44,10.204081632653061,4.098360655737705
CommentDensity,49,5,44,10.204081632653061,4.098360655737705
OutDegree,2491,113,2378,4.53633079084705,92.62295081967213
OutDegreeDistinct,2491,113,2378,4.53633079084705,92.62295081967213
PatternSize,22,2,20,9.090909090909092,1.639344262295082
NumberOfPatternVariables,22,2,20,9.090909090909092,1.639344262295082
