name,count,percentage_faulty,percentage_total_faults
CommentDensity,7,15.972222222222221,33.33333333333333
CommentLinesOfCode,7,15.972222222222221,33.33333333333333
CyclomaticComplexity,7,10.369487485101313,100.0
DepthOfNesting,7,13.385826771653544,68.30265848670757
LinesOfCode,7,10.369487485101313,100.0
NumberOfPatternVariables,7,15.034965034965033,59.40695296523518
OutDegree,7,10.406698564593302,100.0
OutDegreeDistinct,7,10.406698564593302,100.0
PatternSize,7,13.385826771653544,68.30265848670757
SourceLinesOfCode,7,10.369487485101313,100.0
