name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
CommentDensity,7,16.001463069656108,11.792131384903723,20.07034822303433,18.446361130012647
CommentLinesOfCode,7,16.001463069656108,11.792131384903723,20.07034822303433,18.446361130012647
CyclomaticComplexity,7,9.867022408689667,4.702999348173547,100.0,0.0
DepthOfNesting,7,14.570272348422941,9.835497497878965,47.03258333913216,14.84444401890539
LinesOfCode,7,9.867022408689667,4.702999348173547,100.0,0.0
NumberOfPatternVariables,7,14.845641045855624,9.920516106236796,43.93512004645932,14.874078288866828
OutDegree,7,9.608425387975519,4.1809830500264775,95.18849525090388,10.010980968947093
OutDegreeDistinct,7,9.608425387975519,4.1809830500264775,95.18849525090388,10.010980968947093
PatternSize,7,14.570272348422941,9.835497497878965,47.03258333913216,14.84444401890539
SourceLinesOfCode,7,9.867022408689667,4.702999348173547,100.0,0.0
