commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package http4s - object EntityDecoder - method semigroupKForEntityDecoder - <$anon: <error>>,10.0,0.0,10.0,1.0,1.0,21.0,20.0,0.0,0.0,0.0,9.0,5.0,5.0,4.0,14.0,7.0,12.0,4.0,1.0,1.0
HEAD,0,package http4s - object EntityDecoder - method semigroupKForEntityDecoder - <$anon: <error>> - method combineK - <$anon: org.http4s.EntityDecoder[F T]>,9.0,0.0,9.0,1.0,2.0,16.0,15.0,0.0,0.0,0.0,8.0,6.0,3.0,2.0,6.5,3.0,6.0,2.0,0.5,0.5
HEAD,0,package http4s - object EntityDecoder - method decodeBy - <$anon: org.http4s.EntityDecoder[F T]>,20.0,0.0,20.0,1.0,1.0,13.0,12.0,0.0,0.0,0.0,9.0,6.0,6.0,5.0,13.0,6.0,12.0,2.0,1.0,1.0
HEAD,0,package http4s - object EntityDecoder - method error - <$anon: org.http4s.EntityDecoder[F T]>,10.0,0.0,10.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - class UrlForm,19.0,6.0,25.0,0.0,4.0,49.0,28.0,21.0,0.42857142857142855,0.0,22.0,13.0,1.0833333333333333,0.08333333333333333,2.75,1.9166666666666667,0.5,0.08333333333333333,0.6666666666666666,0.6666666666666666
HEAD,1,package http4s - object UrlForm,42.0,6.0,46.0,0.0,0.0,67.0,64.0,3.0,0.04477611940298507,0.0,33.0,0.0,1.7142857142857142,1.8571428571428572,6.857142857142857,4.428571428571429,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.7601572739187418
HEAD,0,package http4s - object UrlForm - <$anon: <error>>,3.0,0.0,3.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - trait Media,14.0,22.0,35.0,0.0,6.0,39.0,23.0,17.0,0.425,2.0,14.0,11.0,1.2222222222222223,0.3333333333333333,1.0,0.7777777777777778,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.3333333333333333
HEAD,0,package http4s - object Media,5.0,22.0,25.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - object Media - method apply - <$anon: org.http4s.Media[F]>,3.0,0.0,3.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package util - package object util,24.0,0.0,24.0,0.0,0.0,85.0,65.0,11.0,0.14473684210526316,0.0,29.0,0.0,2.142857142857143,1.2857142857142858,9.142857142857142,4.0,1.4285714285714286,0.2857142857142857,0.5714285714285714,0.2857142857142857
HEAD,0,package http4s - class ContentCoding,12.0,11.0,23.0,2.0,5.0,31.0,29.0,0.0,0.0,0.0,18.0,12.0,1.3333333333333333,0.6666666666666666,2.0,1.5555555555555556,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.0
HEAD,1,package http4s - object ContentCoding,25.0,11.0,34.0,0.0,0.0,57.0,50.0,5.0,0.09090909090909091,0.0,19.0,0.0,1.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666
HEAD,0,package http4s - object ContentCoding - method parse - <$anon: org.http4s.parser.Http4sParser[org.http4s.ContentCoding] with org.http4s.ContentCoding.ContentCodingParser>,2.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object ContentCoding - trait ContentCodingParser,2.0,6.0,8.0,3.0,2.0,15.0,13.0,0.0,0.0,2.0,2.0,3.0,1.5,0.0,4.5,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object ContentCoding - <$anon: org.http4s.HttpCodec[org.http4s.ContentCoding]>,8.0,0.0,8.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient,38.0,0.0,38.0,0.0,0.0,120.0,100.0,19.0,0.15966386554621848,0.0,28.0,0.0,1.75,2.375,10.875,3.125,2.875,0.75,0.875,0.7801606288448393
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient - method asyncHandler - <$anon: <error>>,14.0,0.0,14.0,1.0,4.0,39.0,37.0,2.0,0.05128205128205128,0.0,9.0,9.0,1.5,2.5,8.166666666666666,2.3333333333333335,2.8333333333333335,0.8333333333333334,0.8333333333333334,-0.5350877192982456
