commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package syntax - class AsyncOps - method fromFuture,3.0,3.0,8.0,8.0,0.0,0.0,8.0,2.0,8.0,2.0,1.0,1.0
HEAD,0,package syntax - class AsyncOps - method fromFuture,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package headers - object Link - method parse,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package headers - class Link - method key,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method unsafeRunAsync,1.0,0.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.07692307692307686
HEAD,1,package http4s - package internal - package object internal - method loggingAsyncCallback,3.0,5.0,6.0,6.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method invokeCallback,1.0,0.0,3.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,-0.3333333333333333
HEAD,0,package http4s - package internal - package object internal - method encodeHexString,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method encodeHex,3.0,9.0,17.0,16.0,1.0,0.058823529411764705,18.0,10.0,3.0,1.0,1.0,0.6363636363636364
HEAD,0,package http4s - package internal - package object internal - method encodeHex - method iterateData,3.0,9.0,11.0,11.0,0.0,0.0,15.0,7.0,3.0,1.0,1.0,0.7333333333333333
HEAD,0,package http4s - package internal - package object internal - method encodeHex - method iterateData - method innerEncode,3.0,9.0,8.0,8.0,0.0,0.0,14.0,7.0,3.0,1.0,1.0,0.6
HEAD,0,package http4s - package internal - package object internal - method decodeHexString,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method decodeHex,5.0,2.0,29.0,27.0,1.0,0.03571428571428571,20.0,15.0,2.0,0.0,1.0,-0.7000000000000002
HEAD,0,package http4s - package internal - package object internal - method decodeHex - method toDigit,2.0,0.0,7.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method fromFuture,5.0,9.0,14.0,14.0,0.0,0.0,12.0,2.0,13.0,3.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method fromCompletableFuture,5.0,4.0,14.0,14.0,0.0,0.0,12.0,2.0,10.0,2.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method fromCompletionStage,5.0,4.0,18.0,17.0,1.0,0.05555555555555555,11.0,2.0,10.0,2.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method unsafeToCompletionStage,3.0,5.0,10.0,10.0,0.0,0.0,10.0,3.0,8.0,2.0,1.0,1.0
