commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package zio - package internal - package object internal,10.0,0.0,10.0,0.0,0.0,17.0,8.0,9.0,0.5294117647058824,0.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific,33.0,1.0,34.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific - object ZEnv,32.0,2.0,34.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific - object ZEnv - object Services,23.0,5.0,28.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console,36.0,7.0,42.0,0.0,0.0,91.0,56.0,35.0,0.38461538461538464,0.0,37.0,0.0,4.0,0.0,16.0,16.0,0.0,0.0,1.3333333333333333
HEAD,0,package zio - package console - package object console - object Console,28.0,6.0,34.0,1.0,0.0,63.0,43.0,20.0,0.31746031746031744,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - trait Service,3.0,10.0,13.0,1.0,5.0,7.0,7.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - object Service,21.0,10.0,29.0,1.0,0.0,50.0,31.0,20.0,0.39215686274509803,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - object Service - <$anon: zio.console.Console.Service>,18.0,0.0,18.0,2.0,4.0,48.0,28.0,20.0,0.4166666666666667,0.0,20.0,8.0,8.0,0.0,23.0,16.0,0.0,0.0,-0.4
HEAD,0,package zio - class Schedule,163.0,10.0,171.0,1.0,15.0,607.0,363.0,243.0,0.400990099009901,0.0,140.0,132.0,132.0,170.0,459.0,295.0,411.0,116.0,51.0
HEAD,1,package zio - object Schedule,80.0,10.0,85.0,1.0,0.0,327.0,191.0,136.0,0.41590214067278286,0.0,92.0,0.0,44.0,44.0,149.0,113.0,34.0,8.0,27.0
HEAD,0,package zio - object Schedule - method apply - <$anon: zio.Schedule[Env In Out]>,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - method fixed - class State,3.0,14.0,17.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - class Driver,4.0,3.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object StepFunction,11.0,1.0,12.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package zio - object Schedule - trait Decision,17.0,7.0,22.0,0.0,4.0,21.0,22.0,0.0,0.0,2.0,10.0,11.0,11.0,23.0,22.0,17.0,34.0,10.0,4.0
HEAD,0,package zio - object Schedule - object Decision,10.0,7.0,14.0,0.0,0.0,8.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Done,4.0,17.0,20.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Continue,6.0,11.0,16.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class IOForkInterruptBenchmark,12.0,0.0,12.0,0.0,2.0,47.0,42.0,0.0,0.0,0.0,15.0,8.0,8.0,0.0,39.0,16.0,0.0,0.0,-2.646031746031746
HEAD,0,package zio - object IOBenchmarks,37.0,33.0,70.0,2.0,0.0,52.0,51.0,0.0,0.0,0.0,23.0,0.0,9.0,0.0,37.0,17.0,0.0,0.0,6.0
HEAD,0,package zio - object IOBenchmarks - <$anon: zio.BootstrapRuntime>,3.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object IOBenchmarks - class Thunk,13.0,8.0,21.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,7.0,4.0,4.0,6.0,11.0,10.0,4.0,1.0,3.0
HEAD,0,package zio - object IOBenchmarks - object Thunk,7.0,8.0,14.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
HEAD,0,package zio - class ParSequenceBenchmark,21.0,0.0,21.0,0.0,1.0,72.0,60.0,0.0,0.0,0.0,26.0,11.0,11.0,0.0,84.0,59.0,0.0,0.0,3.666666666666667
HEAD,0,package zio - trait App,11.0,2.0,13.0,2.0,2.0,28.0,19.0,9.0,0.32142857142857145,0.0,6.0,6.0,6.0,11.0,14.0,6.0,6.0,0.0,-0.6190476190476191
HEAD,0,package zio - trait App - method main - <$anon: Thread>,2.0,0.0,2.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,-0.7142857142857143
HEAD,0,package zio - class NonEmptyChunk,48.0,11.0,58.0,0.0,4.0,169.0,82.0,88.0,0.5176470588235295,0.0,61.0,34.0,34.0,16.0,69.0,62.0,17.0,5.0,11.275862068965516
HEAD,0,package zio - object NonEmptyChunk,19.0,11.0,28.0,0.0,0.0,44.0,17.0,27.0,0.6136363636363636,0.0,13.0,0.0,8.0,4.0,15.0,14.0,6.0,2.0,2.0
