name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CountCurrying,7.3461431782529285,3.903842051429109,32.32633345632105,36.54870972405534,0.0007993462316254211,0.013219060386058433
CountFunctionCalls,11.507431309585154,6.159199963871127,37.03155478793896,41.35187312703651,0.03867895909343273,0.036209090658118344
CountFunctionParameters,9.496436870501494,3.892778481646463,13.282162134984745,11.60338547391002,0.019707449561504643,0.014253639916936255
CountFunctions,10.183477032857553,3.7201204742809164,32.69182773122991,7.5564583976693065,0.052482579764218676,0.05564213975778712
CountHigherOrderCalls,10.190627679952964,3.437477351186006,31.25364835810512,5.689007139554336,0.04445445999396058,0.056771273295428956
CountInnerVariableAssignment,11.440923648303267,7.293017000048439,31.032529430109285,46.77982943059697,0.018707079972037518,0.03170949060395181
CountLazyValues,13.318192610602697,6.598524360365453,19.419123295859045,35.67512067425595,0.028823857247077762,0.02691211865962656
CountNestedDepth,8.949926495883615,3.1032131372873084,49.28318164204414,47.12852908867846,0.015299757055069071,0.01474567083761275
CountNestedMethods,14.880757832674716,8.492867200942735,13.796236616428184,6.399221342710769,0.06535127152961506,0.04543395966064399
CountOuterVariableAssignment,10.571142785352292,6.362186124652566,44.68554926683522,46.00634624142145,0.018704932206705077,0.026654494625322697
CountOuterVariableUsage,13.179816241923712,6.7455717437308245,38.025750051044824,43.14751415028356,0.04170576772506325,0.03830490909719501
CountParameterLists,11.095123115983641,5.360571683807067,39.01376734539455,30.70616467686808,0.06317700124986984,0.0631076231452922
CountPatternMatching,14.82243042514705,7.789238156493921,37.55931448821426,9.79823476843445,0.11710081975201593,0.09966296791864725
CountRecursiveCalls,9.229768225139,3.9630378221593885,56.94987658855084,43.76116539289224,0.012367914732935739,0.018169998594835188
CountSideEffectCalls,11.13948338441116,5.590672053610174,35.70097713231856,29.96882105890431,0.05362982544425824,0.051414919328017714
CountSideEffectFunctions,14.001020499988902,4.541458987678864,20.458860310036208,35.54984208987164,0.04372794982253574,0.04299217048455338
CountSideEffects,12.291042723020654,4.07348356071303,34.59392487398674,28.57609864452628,0.06616890907914583,0.05539084813390844
CountVariableDefinitions,12.535171230767832,10.284286563838279,20.674859442988925,35.01441965962277,0.021269679431191926,0.0356152329360848
CountVariables,11.553012423002754,6.732635318056009,26.20239640362153,33.78137895369689,0.03366424564117965,0.04955426472575631
FunctionalScoreCount,12.251394987373832,4.817368180168134,40.16515933080963,8.780110206515213,0.09689431699199216,0.07145363741176848
HasPointsCount,10.069763046066612,4.379689375814668,78.7577323427176,9.401766633051833,0.10067784383292719,0.050300912276910414
ImperativeScoreCount,12.13276741618515,4.26104284594473,34.17403726925777,28.824195454277888,0.06426053743706389,0.05266577239833299
IsFunction,11.056934299616758,7.313697100105797,61.483625723801715,48.274337879019846,0.03965648941430866,0.04472650673106189
IsSideEffect,9.022551840034344,3.186569019638532,67.8855923875892,38.38506676675576,0.034366158335778406,0.032525637247535544
ParadigmScoreCount,10.046446535990826,4.3517230222056416,59.879209659323124,9.745569751927206,0.07539416894043223,0.04716011088838372
