name,count,mean mean,mean std,std mean,std std
FractionCurrying,7,0.0406296817666885,0.06885784545895303,0.2956904583967379,0.4330683242427311
FractionFunctionCalls,7,0.09144315452800611,0.12112921547205982,0.4195502793741623,0.5412426628599819
FractionFunctions,7,0.8245799711813311,0.8920527562102482,2.8985749257321163,3.5206928798196815
FractionHigherOrderCalls,7,0.5704463258415544,0.6090045942369209,2.11954850906179,2.383571392284112
FractionInnerVariableAssignment,7,0.011695818635540417,0.014034229629483693,0.07171999211650158,0.07342946841844747
FractionLazyValues,7,0.014875376260610527,0.013554159305344614,0.1041862345546933,0.0768406876315567
FractionNestedMethods,7,0.10540380665726996,0.052905167397850936,0.47309216336459803,0.2338461386110127
FractionOuterVariableAssignment,7,0.017882175583658757,0.02182482768278912,0.1110730781179701,0.0995748771410897
FractionOuterVariableUsage,7,0.07297388626336354,0.09555035837166377,0.3928878191949708,0.4221533281606005
FractionPatternMatching,7,0.35042649482893834,0.17741235137586883,1.0009595089363705,0.5329420421302431
FractionRecursiveCalls,7,0.007907412571723461,0.009294442519431281,0.06346592726259705,0.05868917527904932
FractionSideEffectCalls,7,0.18315336548639444,0.20076506790671297,0.6107821397622641,0.6149771419122771
FractionSideEffectFunctions,7,0.021272400669851532,0.020166750875701894,0.11952748553834644,0.09243966025402311
FractionSideEffects,7,0.5267032414810634,0.4543928874172796,1.414271254965728,1.1574959418143136
FractionVariableDefinitions,7,0.007750904734590224,0.010495186836940245,0.048396729258934346,0.05480962832156272
FractionVariables,7,0.09814878102884618,0.12366337946134329,0.4379687864069159,0.46891143366855026
FunctionalScoreFraction,7,3.3593739100536673,3.0536222942456464,11.162265927781714,13.45181611901435
HasFunctionParameters,7,0.5574667163369826,0.8094135811794314,2.695877243705425,3.9290262926082695
HasMultipleParameterLists,7,0.6903357279685657,0.5317845604284802,3.2980571552098388,2.9672133733244976
HasPointsFraction,7,2.33046583813169,1.3655079844434423,5.741959587812171,4.738911643664632
ImperativeScoreFraction,7,1.3589547078649002,1.2529047373941924,3.702869723583518,3.244695119754369
IsFunction,7,0.10567295762381611,0.14012630289065525,0.6166961484043875,0.6371784117279696
IsNested,7,0.00018628448818032488,0.00039601046156469025,0.006881491688379629,0.012731240593265112
IsSideEffect,7,0.4193741339815917,0.40237479542752735,1.2977261464014969,1.1303798994908012
ParadigmScoreFraction,7,1.20669939927565,1.1455690695868779,5.224982205763292,4.747542623313843
