name,count,precision,recall,mcc
FunctionalCalls,7,39.24050632911392,42.75862068965517,0.2968001245701317
FunctionalScoreLandkroon,7,33.66834170854271,48.61111111111111,0.26225558480128003
HasPointsLandkroon,7,33.33333333333333,43.209876543209866,0.2537518564500684
HigherOrder,7,33.691756272401435,17.647058823529417,0.15181056534757986
ImperativeCalls,7,37.77777777777778,12.962962962962964,0.13901700825399207
ImperativeScoreLandkroon,7,34.09090909090909,20.689655172413797,0.15806464391667474
Nested,7,0.0,0.0,0.0
ParadigmScoreLandkroon,7,32.477788746298124,48.57142857142857,0.26551476323189743
Recursive,7,36.36363636363637,6.4705882352941195,0.08982869020187989
SideEffects,7,37.11507293354943,15.862068965517242,0.1310956549310119
