name,count,mean,std
FunctionalScoreBool,7,5.3150525087514575,10.546695524609023
HasCurrying,7,0.08436419515943143,0.595263830797182
HasFunctionCalls,7,0.19500576258163654,0.5766228243452111
HasFunctionParameters,7,0.2903703703703704,1.387521427695639
HasFunctions,7,1.3150525087514586,3.623240435380032
HasHigherOrderCalls,7,0.9145785876993168,3.4367769013973715
HasInnerVariableAssignment,7,0.08743757203227047,0.3928142694333208
HasLazyValues,7,0.052699784017278616,0.3621997915538908
HasMultipleParameterLists,7,0.5955555555555555,1.9620516435203408
HasNestedMethods,7,0.2277904328018223,0.8702357452059183
HasOuterVariableAssignment,7,0.04666666666666667,0.3134906120381242
HasOuterVariableUsage,7,0.09626604434072346,0.5774089631551635
HasPatternMatching,7,0.6088888888888889,1.8293355976460688
HasPointsBool,7,2.7024504084014,5.766800301187869
HasSideEffectCalls,7,0.4639308855291577,1.6104990506366599
HasSideEffectFunctions,7,0.031505250875145864,0.18448064784552612
HasSideEffects,7,1.0455075845974329,2.2660790087261944
HasVariableDefinitions,7,0.06133333333333332,0.3411647892736623
HasVariables,7,0.15925925925925927,0.6493980643772442
ImperativeScoreBool,7,2.5624190064794816,6.294574537220401
IsFunction,7,0.0637037037037037,0.36358660313736696
IsNested,7,0.0,0.0
IsRecursive,7,0.022753792298716453,0.19149691058315554
IsSideEffect,7,0.26,0.9486247564265996
ParadigmScoreBool,7,1.1415362706786276,4.1691250446606745
